key,value
Language,Sprache
FROM AROUND\nTHE WORLD,AUS ALLER WELT
Continue,Weiter
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Teile dein Talent mit Menschen weltweit und baue dir eine engagierte Fangemeinde auf.
Next,Weiter
GET\nAPPRECIATED,ERHALTEN SIE\nWERTSCHÄTZUNG
Select,Auswählen
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Erhalte Likes und Kommentare von deinen Fans, die dich motivieren, noch mehr Inhalte zu erstellen!"
MULTIPLE SOCIAL\nGATEWAYS,MEHRERE SOZIALE GATEWAYS
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Poste Reels, Bilder, Videos, gehe live. Wähle die Methode, die zu dir und deinem Publikum passt!"
Nearby,In der Nähe
Following,Gefolgt
Followers Only,Nur Follower
Everyone,Alle
Follow,Folgen
More,Mehr
Less,Weniger
Comments,Kommentare
Reply,Antworten
Likes,Likes
View,Anzeigen
Hide,Ausblenden
Replies,Antworten
Views,Aufrufe
POST,POSTEN
Posts,Beiträge
Write here,Hier schreiben
What do you think,Was denkst du?
Replying to,Antwort an
"Coins You Have,","Münzen die du hast,"
Coins,Münzen
Coin,Münze
Send,Senden
Send Gifts,Geschenke senden
"Your gift has been sent,","Dein Geschenk wurde gesendet,"
Successfully,Erfolgreich
Check Videos,Videos ansehen
Audio Details,Audiodetails
Make Reel,Reel erstellen
Reels,Reels
Report @reportType,Melden @reportType
Report,Melden
Country,Land
Description,Beschreibung
Submit,Absenden
"By proceeding forward, You agree to the,",Durch Fortfahren stimmst du den
Privacy Policy,Datenschutzbestimmungen
and,und
Terms of Use,Nutzungsbedingungen
Description here..,Beschreibung hier..
SIGN IN,ANMELDEN
TO CONTINUE,UM FORTZUFahren
Enter Your Email,Gib deine E-Mail ein
Enter Password,Passwort eingeben
Forget Password?,Passwort vergessen?
Log in,Anmelden
Log out,Abmelden
Delete Account,Konto löschen
Create account here!,Hier Konto erstellen!
Continue With,Weiter mit
SIGN UP &,ANMELDEN &
START JOURNEY,REISE BEGINNEN
Full Name,Vollständiger Name
Email,E-Mail
Password,Passwort
Re-Type Password,Passwort bestätigen
Enter here..,Hier eingeben..
Create Account,Konto erstellen
Enter Full Name,Vollen Namen eingeben
LIVESTREAMS,LIVESTREAMS
Search here..,Hier suchen..
Viewers,Zuschauer
Messages,Nachrichten
Message,Nachricht
Chats,Chats
Requests,Anfragen
Followers,Follower
LVL,LEVEL
Settings,Einstellungen
Open Setting,Einstellungen öffnen
Publish,Veröffentlichen
Website,Webseite
Instagram,Instagram
Youtube,YouTube
Shop Now,Jetzt einkaufen
Feed,Feed
Activity,Aktivität
System,System
Story,Story
Unfollow,Entfolgen
Go Live,Live gehen
Levels,Levels
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Sammle mehr Münzen, erreiche neue Levels und zeige dein Abzeichen stolz auf deinem Profil."
Level,Level
Collection,Sammlung
You,Du
Become,Werde
PLUS+,PLUS+
Personal,Persönlich
Edit Profile,Profil bearbeiten
Saved Posts,Gespeicherte Beiträge
Languages,Sprachen
Blocked Users,Blockierte Nutzer
My QR Code,Mein QR-Code
Coin Wallet,Münzguthaben
Privacy,Privatsphäre
Who Can See Posts,Wer kann Beiträge sehen
Show My Followings,Meine Follower anzeigen
Show Chat Button,Chat-Button anzeigen
Notifications,Benachrichtigungen
General,Allgemein
Post Likes,Beitrags-Likes
Comments On Post,Kommentare zu Beiträgen
Mentions,Erwähnungen
Gifts Received,Erhaltene Geschenke
Chat Message,Chat-Nachricht
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Abonniere Plus für eine werbefreie Erfahrung und ein verifiziertes Abzeichen auf deinem Profil.
No Ads,Werbefrei
Get Verified,Verifizierung erhalten
Subscribe Now,Jetzt abonnieren
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"Das Abonnement verlängert sich automatisch gemäß dem gewählten Plan, sofern es nicht innerhalb von 24 Stunden vor Ende des aktuellen Zeitraums gekündigt wird. Abonnements können jederzeit in den App Store/Play Store-Einstellungen verwaltet oder gekündigt werden."
User ID,Benutzer-ID
Profile Image,Profilbild
Username,Benutzername
Bio,Bio
Phone Number,Telefonnummer
Links,Links
Link,Link
Title,Titel
Add Link,Link hinzufügen
Edit Link,Link bearbeiten
Edit,Bearbeiten
Delete,Löschen
Save,Speichern
Share,Teilen
Share Post,Beitrag teilen
Pin,Anheften
Unpin,Lösen
Block,Blockieren
UnBlock,Entblocken
Scan This code\nto check the profile,"Scanne diesen Code, um das Profil zu sehen"
Balance,Guthaben
Collected*,Gesammelt*
Gifted*,Verschenkt*
GIF,GIF
Purchased*,Gekauft*
