key,value
Language,Sprog
FROM AROUND\nTHE WORLD,FRA HELE VERDEN
Continue,Fortsæt
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Del dit talent med folk over hele verden og byg din egen engagerede fanbase.
Next,Næste
GET\nAPPRECIATED,FÅ ANERKENDELSE
Select,Vælg
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Modtag likes og kommentarer fra dine fans, som vil motivere dig til at skabe mere indhold!"
MULTIPLE SOCIAL\nGATEWAYS,FLERE SOCIALE PLATFORMMER
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Post Reels, billeder, videoer, gå live. Vælg den metode der passer bedst til dig og dit publikum!"
Nearby,I nærheden
Following,Følger
Followers Only,Kun følgere
Everyone,Alle
Follow,Følg
More,Mere
Less,Mindre
Comments,Kommentarer
Reply,Svar
Likes,Likes
View,Vis
Hide,Skjul
Replies,Svar
Views,Visninger
POST,OPSLAG
Posts,Opslag
Write here,Skriv her
What do you think,Hvad tænker du?
Replying to,Svar til
"Coins You Have,","Mønter du har,"
Coins,Mønter
Coin,Mønt
Send,Send
Send Gifts,Send gaver
"Your gift has been sent,","Din gave er blevet sendt,"
Successfully,Succesfuldt
Check Videos,Se videoer
Audio Details,Lyddetaljer
Make Reel,Lav Reel
Reels,Reels
Report @reportType,Rapportér @reportType
Report,Rapportér
Country,Land
Description,Beskrivelse
Submit,Indsend
"By proceeding forward, You agree to the,","Ved at fortsætte accepterer du,"
Privacy Policy,Privatlivspolitik
and,og
Terms of Use,Brugsbetingelser
Description here..,Beskrivelse her..
SIGN IN,LOG IND
TO CONTINUE,FOR AT FORTSÆTTE
Enter Your Email,Indtast din email
Enter Password,Indtast adgangskode
Forget Password?,Glemt adgangskode?
Log in,Log ind
Log out,Log ud
Delete Account,Slet konto
Create account here!,Opret konto her!
Continue With,Fortsæt med
SIGN UP &,TILMELD DIG &
START JOURNEY,START DIN REJSE
Full Name,Fulde navn
Email,Email
Password,Adgangskode
Re-Type Password,Gentag adgangskode
Enter here..,Indtast her..
Create Account,Opret konto
Enter Full Name,Indtast fulde navn
LIVESTREAMS,LIVESTREAMS
Search here..,Søg her..
Viewers,Seere
Messages,Beskeder
Message,Besked
Chats,Chats
Requests,Anmodninger
Followers,Følgere
LVL,NIVEAU
Settings,Indstillinger
Open Setting,Åbn indstillinger
Publish,Offentliggør
Website,Hjemmeside
Instagram,Instagram
Youtube,YouTube
Shop Now,Shop nu
Feed,Feed
Activity,Aktivitet
System,System
Story,Historie
Unfollow,Følg ikke
Go Live,Gå live
Levels,Niveauer
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Saml flere mønter, opnå nye niveauer og vis dit badge med stolthed på din profil."
Level,Niveau
Collection,Samling
You,Dig
Become,Bliv
PLUS+,PLUS+
Personal,Personlig
Edit Profile,Rediger profil
Saved Posts,Gemte opslag
Languages,Sprog
Blocked Users,Blokerede brugere
My QR Code,Min QR-kode
Coin Wallet,Mønttegnebog
Privacy,Privatliv
Who Can See Posts,Hvem kan se opslag
Show My Followings,Vis mine følgesider
Show Chat Button,Vis chatknap
Notifications,Notifikationer
General,Generelt
Post Likes,Opslags-likes
Comments On Post,Kommentarer på opslag
Mentions,Nævnelser
Gifts Received,Modtagne gaver
Chat Message,Chatbesked
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Abonnér på Plus for en reklamefri oplevelse og et verificeret badge på din profil.
No Ads,Reklamefri
Get Verified,Få verificeret
Subscribe Now,Abonnér nu
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"Abonnementet fornyes automatisk efter den valgte plan, medmindre det annulleres inden 24 timer før den nuværende periode slutter. Du kan administrere og annullere abonnementer når som helst fra app store/Play Store-indstillinger."
User ID,Bruger-ID
Profile Image,Profilbillede
Username,Brugernavn
Bio,Bio
Phone Number,Telefonnummer
Links,Links
Link,Link
Title,Titel
Add Link,Tilføj link
Edit Link,Rediger link
Edit,Rediger
Delete,Slet
Save,Gem
Share,Del
Share Post,Del opslag
Pin,Fastgør
Unpin,Frigiv
Block,Bloker
UnBlock,Fjern blokering
Scan This code\nto check the profile,Scan denne kode for at se profilen
Balance,Saldo
Collected*,Samlet*
Gifted*,Givet*
GIF,GIF
Purchased*,Købt*
Coin Shop,Møntbutik
Recharge your wallet. And\nsend gifts to your favorite creators.,Genopfyld din tegnebog og send gaver til dine yndlingsskabere.
