key,value,
Language,Idioma,
FROM AROUND\nTHE WORLD,DE TODO EL MUNDO,
Continue,Continuar,
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Comparte tu talento con personas de todo el mundo y construye una base de fans saludable.,
Next,Siguiente,
GET\nAPPRECIATED,RECIBE RECONOCIMIENTO,
Select,Seleccionar,
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","¡Recibe likes y comentarios de tus fans, lo que te motivará a crear más contenido!",
MULTIPLE SOCIAL\nGATEWAYS,MÚLTIPLES ACCESOS A REDES SOCIALES,
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Publica Reels, imágenes, videos o haz transmisiones en vivo. ¡Elige el formato que mejor se adapte a ti y a tu audiencia!",
Nearby,Cercanos,
Following,Siguiendo,
Followers Only,Solo seguidores,
Everyone,Todos,
Follow,Seguir,
More,Ver más,
Less,Ver menos,
Comments,Comentarios,
Reply,Responder,
Likes,Me gusta,
View,Ver,
Hide,Ocultar,
Replies,Respuestas,
Views,Vistas,
POST,PUBLICAR,
Posts,Publicaciones,
Write here,Escribe aquí,
What do you think,¿Qué opinas?,
Replying to,Respondiendo a,
"Coins You Have,",Monedas que tienes:,
Coins,Monedas,
Coin,Moneda,
Send,Enviar,
Send Gifts,Enviar regalos,
"Your gift has been sent,","Tu regalo ha sido enviado,",
Successfully,Exitosamente,
Check Videos,Ver videos,
Audio Details,Detalles del audio,
Make Reel,Crear Reel,
Reels,Reels,
Report @reportType,Reportar @reportType,
Report,Reportar,
Country,País,
Description,Descripción,
Submit,Enviar,
"By proceeding forward, You agree to the,","Al continuar, aceptas la",
Privacy Policy,Política de Privacidad,
and,y los,
Terms of Use,Términos de Uso,
Description here..,Descripción aquí...,
SIGN IN,INICIAR SESIÓN,
TO CONTINUE,PARA CONTINUAR,
Enter Your Email,Ingresa tu correo electrónico,
Enter Password,Ingresa tu contraseña,
Forget Password?,¿Olvidaste tu contraseña?,
Log in,Iniciar sesión,
Log out,Cerrar sesión,
Delete Account,Eliminar cuenta,
Create account here!,¡Crea una cuenta aquí!,
Continue With,Continuar con,
SIGN UP &,REGÍSTRATE Y,
START JOURNEY,COMIENZA TU VIAJE,
Full Name,Nombre completo,
Email,Correo electrónico,
Password,Contraseña,
Re-Type Password,Confirmar contraseña,
Enter here..,Ingresa aquí...,
Create Account,Crear cuenta,
Enter Full Name,Ingresa tu nombre completo,
LIVESTREAMS,TRANSMISIONES EN VIVO,
Search here..,Buscar aquí...,
Viewers,Espectadores,
Messages,Mensajes,
Message,Mensaje,
Chats,Chats,
Requests,Solicitudes,
Followers,Seguidores,
LVL,NIV,
Settings,Ajustes,
Open Setting,Abrir configuración,
Publish,Publicar,
Website,Sitio web,
Instagram,Instagram,
Youtube,Youtube,
Shop Now,Comprar ahora,
Feed,Feed,
Activity,Actividad,
System,Sistema,
Story,Historia,
Unfollow,Dejar de seguir,
Go Live,Transmitir en vivo,
Levels,Niveles,
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Consigue más monedas, asciende de nivel y muestra con orgullo tu insignia en tu perfil para que todos la admiren.",
Level,Nivel,
Collection,Colección,
You,Tú,
Become,Conviértete en,
PLUS+,PLUS+,
Personal,Personal,
Edit Profile,Editar perfil,
Saved Posts,Publicaciones guardadas,
Languages,Idiomas,
Blocked Users,Usuarios bloqueados,
My QR Code,Mi código QR,
Coin Wallet,Monedero,
Privacy,Privacidad,
Who Can See Posts,Quién puede ver mis publicaciones,
Show My Followings,Mostrar a quienes sigo,
Show Chat Button,Mostrar botón de chat,
Notifications,Notificaciones,
General,General,
Post Likes,Me gusta en publicaciones,
Comments On Post,Comentarios en publicaciones,
Mentions,Menciones,
Gifts Received,Regalos recibidos,
Chat Message,Mensajes de chat,
