key,value
Language,언어
FROM AROUND\nTHE WORLD,전 세계에서
Continue,계속
Share your talent with the\npeople around the world\nand build your healthy fanbase.,전 세계 사람들과 재능을 공유하고 탄탄한 팬층을 구축하세요.
Next,다음
GET\nAPPRECIATED,칭찬 받기
Select,선택
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",팬들의 좋아요와 댓글을 받아 더 많은 콘텐츠를 제작할 수 있습니다!
MULTIPLE SOCIAL\nGATEWAYS,다양한 소셜 게이트웨이
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","릴, 이미지, 동영상을 게시하고 라이브 방송을 시작하세요. 나와 내 팔로워에게 맞는 방식을 선택하세요!"
Nearby,주변
Following,팔로잉
Followers Only,팔로워만
Everyone,모두
Follow,팔로우
More,더 보기
Less,간단히
Comments,댓글
Reply,답글
Likes,좋아요
View,보기
Hide,숨기기
Replies,답글
Views,조회수
POST,게시물
Posts,게시물
Write here,여기에 쓰기
What do you think,어떻게 생각하세요?
Replying to,답글
"Coins You Have,",보유 코인
Coins,코인
Coin,코인
Send,보내기
Send Gifts,선물 보내기
"Your gift has been sent,",선물이 전송되었습니다.
Successfully,성공
Check Videos,동영상 확인
Audio Details,오디오 세부 정보
Make Reel,릴 만들기
Reels,릴
Report @reportType,신고 @reportType
Report,신고
Country,국가
Description,설명
Submit,제출
"By proceeding forward, You agree to the,",계속 진행하면 다음에 동의하는 것으로 간주됩니다.
Privacy Policy,개인정보처리방침
and,및
Terms of Use,이용약관
Description here..,설명은 여기에 있습니다.
SIGN IN,로그인
TO CONTINUE,계속하기
Enter Your Email,이메일 주소 입력
Enter Password,비밀번호 입력
Forget Password?,비밀번호를 잊으셨나요?
Log in,로그인
Log out,로그아웃
Delete Account,계정 삭제
Create account here!,여기에서 계정을 만드세요!
Continue With,계속하기
SIGN UP &,가입하고
START JOURNEY,여정 시작하기
Full Name,성함
Email,이메일
Password,비밀번호
Re-Type Password,비밀번호 재입력
Enter here..,여기에 입력하세요..
Create Account,계정 만들기
Enter Full Name,성함 입력
LIVESTREAMS,라이브 스트림
Search here..,여기에서 검색하세요..
Viewers,시청자
Messages,메시지
Message,메시지
Chats,채팅
Requests,요청
Followers,팔로워
LVL,레벨
Settings,설정
Open Setting,설정 열기
Publish,게시
Website,웹사이트
Instagram,인스타그램
Youtube,유튜브
Shop Now,지금 구매하기
Feed,피드
Activity,활동
System,시스템
Story,스토리
Unfollow,팔로우 취소
Go Live,라이브 시작
Levels,레벨
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","더 많은 코인을 모으고, 새로운 경지에 오르고, 모두가 볼 수 있도록 프로필에 배지를 자랑스럽게 보여주세요."
Level,레벨
Collection,컬렉션
You,나
Become,되기
PLUS+,PLUS+
Personal,개인 설정
Edit Profile,프로필 수정
Saved Posts,저장된 게시물
Languages,언어
Blocked Users,차단된 사용자
My QR Code,내 QR 코드
Coin Wallet,코인 지갑
Privacy,개인 정보 보호
Who Can See Posts,게시물 열람 가능자
Show My Followings,내 팔로워 표시
Show Chat Button,채팅 버튼 표시
Notifications,알림
General,일반
Post Likes,게시물 좋아요
Comments On Post,게시물 댓글
Mentions,멘션
Gifts Received,받은 선물
Chat Message,채팅 메시지
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Plus에 가입하시면 광고 없는 경험과 프로필에 인증 아이콘이 표시됩니다.
No Ads,광고 없음
Get Verified,인증 받기
Subscribe Now,지금 구독하기
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,현재 구독 기간 종료 24시간 이내에 취소하지 않으면 구독은 플랜에 따라 자동으로 갱신됩니다. 앱 스토어/플레이 스토어 설정에서 언제든지 구독을 관리하고 취소할 수 있습니다.
User ID,사용자 ID
Profile Image,프로필 이미지
Username,사용자 이름
Bio,소개
Phone Number,전화번호
Links,링크
Link,링크
Title,제목
Add Link,링크 추가
Edit Link,링크 편집
Edit,편집
Delete,삭제
Save,저장
Share,공유
Share Post,게시물 공유
Pin,고정
Unpin,고정 해제
Block,차단
UnBlock,차단 해제
Scan This code\nto check the profile,프로필을 확인하려면 이 코드를 스캔하세요.
Balance,잔액
Collected*,모은 금액*
Gifted*,선물 받은 금액*
GIF,GIF
Purchased*,구매한 금액*
Coin Shop,코인 샵
Recharge your wallet. And\nsend gifts to your favorite creators.,지갑을 충전하세요. 그리고 좋아하는 크리에이터에게 선물을 보내세요.
Purchase,구매
Withdrawals,출금
Request Withdrawal,출금 요청
Pending,보류 중
Completed,완료
Rejected,거부됨
Coin Balance,코인 잔액
Estimated Value,예상 가치
Estimated Amount,예상 금액
Amount,금액
Enter Coin Amount..,코인 금액 입력
Converted Amount,환산 금액
Create Feed,피드 생성
Write something here..,여기에 글을 작성하세요.
Mention,멘션
Hashtags,해시태그
Location,위치
Allow Comments,댓글 허용
Select Music,음악 선택
Explore,탐색
Categories,카테고리
Saved,저장됨
Preview,미리보기
Change Cover,커버 변경
Upload Now,지금 업로드
Discard,취소
Done,완료
Font Family,글꼴 패밀리
Type Something...,입력...
Users,사용자
User,사용자
Places,장소
Enter Live Stream Title...,라이브 스트림 제목 입력...
Start Live,라이브 시작
Stop,중지
Start Battle,배틀 시작
Battle\nStarting\nin,배틀 시작 중
Cancel,취소
Yes,예
Members,멤버
Audience,방청객
Invited,초대됨
Invite,초대
Co-hosts,공동 진행자
Refuse,거부
Accept,수락
Host,호스트
Guest,게스트
Victory,승리
Defeat,패배
Streamed For,스트리밍 시간
Followers Gained,획득 팔로워 수
Total Coins Collected,모은 총 코인 수
Go Home,홈으로
Stream Ended!,스트리밍 종료!
Your Stream Ended!,스트리밍 종료!
Below is the summary of your stream!,아래는 스트림 요약입니다!
From Battle,배틀에서
Live,라이브
Check Profile,프로필 확인
You are sending coins to @color Participant,@color 참가자에게 코인을 보내고 있습니다.
You will be sent back to main view in...,다음 시간 내에 메인 화면으로 돌아갑니다...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,라이브 스트림은 최소 @viewers_count명의 시청자가 있어야 계속 시청할 수 있으므로 종료되었습니다.
Please enter an email. The email field is empty.,이메일 주소를 입력하세요. 이메일 필드가 비어 있습니다.
Please enter a password. The password field is empty.,비밀번호를 입력하세요. 비밀번호 필드가 비어 있습니다.
No user found with that email. Please register with this email.,해당 이메일 주소를 사용하는 사용자를 찾을 수 없습니다. 이 이메일 주소로 등록해 주세요.
Incorrect password provided for this user.,이 사용자에게 제공된 비밀번호가 올바르지 않습니다.
The password provided is too weak.,제공된 비밀번호가 너무 약합니다.
The account already exists for that email.,해당 이메일 주소로 등록된 계정이 이미 있습니다.
Please enter a full name. The full name field is empty.,성함을 입력하세요. 이름 필드가 비어 있습니다.
Please enter a username. The username field is empty.,사용자 이름을 입력하세요. 사용자 이름 필드가 비어 있습니다.
Please enter a URL link. The link field is empty.,URL 링크를 입력하세요. 링크 필드가 비어 있습니다.
Please enter a valid URL link,유효한 URL 링크를 입력하세요.
Please enter a title. The title field is empty.,제목을 입력하세요. 제목 필드가 비어 있습니다.
Please enter a valid username.,유효한 사용자 이름을 입력하세요.
Please confirm your password. The confirm password field is empty.,비밀번호를 확인하세요. 비밀번호 확인 필드가 비어 있습니다.
The password and confirm password do not match.,비밀번호와 비밀번호 확인이 일치하지 않습니다.
The email is incorrect. Please enter a valid email.,이메일 주소가 올바르지 않습니다. 유효한 이메일을 입력하세요.
A verification link has been sent to your email. Please verify the link to log in.,확인 링크가 이메일로 전송되었습니다. 로그인 링크를 확인해 주세요.
"Please verify your email first, then proceed to log in.",먼저 이메일을 확인하신 후 로그인해 주세요.
Delete Link?,링크를 삭제하시겠습니까?
Phone Code,전화번호
No Data Found,데이터를 찾을 수 없습니다.
Are you sure you want to delete this link? This action cannot be undone.,이 링크를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.
Uploading post...,게시물 업로드 중...
Uploading story...,스토리 업로드 중...
Post uploaded successfully.,게시물이 업로드되었습니다.
Story uploaded successfully.,스토리가 업로드되었습니다.
Uploading failed.,업로드에 실패했습니다.
Add Filter,필터 추가
Apply to all,모두 적용
