key,value,
Language,语言,
FROM AROUND\nTHE WORLD,来自全球,
Continue,继续,
Share your talent with the\npeople around the world\nand build your healthy fanbase.,与世界各地的人分享你的才华，建立健康的粉丝群。,
Next,下一步,
GET\nAPPRECIATED,获得赞赏,
Select,选择,
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",收集粉丝的点赞和评论，激励你创作更多内容！,
MULTIPLE SOCIAL\nGATEWAYS,多种社交入口,
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!",发布短视频、图片、视频或直播。选择最适合你和观众的方式！,
Nearby,附近,
Following,关注中,
Followers Only,仅粉丝,
Everyone,所有人,
Follow,关注,
More,更多,
Less,更少,
Comments,评论,
Reply,回复,
Likes,点赞,
View,查看,
Hide,隐藏,
Replies,回复,
Views,观看次数,
POST,发布,
Posts,帖子,
Write here,在此输入,
What do you think,你有什么想法,
Replying to,回复给,
"Coins You Have,",你拥有的硬币，,
Coins,硬币,
Coin,硬币,
Send,发送,
Send Gifts,发送礼物,
"Your gift has been sent,",你的礼物已发送，,
Successfully,成功,
Check Videos,查看视频,
Audio Details,音频详情,
Make Reel,制作短视频,
Reels,短视频,
Report @reportType,举报 @reportType,
Report,举报,
Country,国家,
Description,描述,
Submit,提交,
"By proceeding forward, You agree to the,",继续即表示你同意，,
Privacy Policy,隐私政策,
and,和,
Terms of Use,使用条款,
Description here..,在此描述..,
SIGN IN,登录,
TO CONTINUE,继续,
Enter Your Email,输入你的邮箱,
Enter Password,输入密码,
Forget Password?,忘记密码？,
Log in,登录,
Log out,退出,
Delete Account,删除账号,
Create account here!,在此创建账号！,
Continue With,继续使用,
SIGN UP &,注册并,
START JOURNEY,开始旅程,
Full Name,全名,
Email,邮箱,
Password,密码,
Re-Type Password,重新输入密码,
Enter here..,在此输入..,
Create Account,创建账号,
Enter Full Name,输入全名,
LIVESTREAMS,直播,
Search here..,在此搜索..,
Viewers,观众,
Messages,消息,
Message,消息,
Chats,聊天,
Requests,请求,
Followers,粉丝,
LVL,等级,
Settings,设置,
Open Setting,打开设置,
Publish,发布,
Website,网站,
Instagram,Instagram,
Youtube,Youtube,
Shop Now,立即购买,
Feed,动态,
Activity,活动,
System,系统,
Story,故事,
Unfollow,取消关注,
Go Live,开始直播,
Levels,等级,
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.",收集更多硬币，提升等级，并在个人资料上展示你的徽章，供所有人欣赏。,
Level,等级,
Collection,收藏,
You,你,
Become,成为,
PLUS+,PLUS+,
Personal,个人,
Edit Profile,编辑资料,
Saved Posts,已保存帖子,
Languages,语言,
Blocked Users,已屏蔽用户,
My QR Code,我的二维码,
Coin Wallet,硬币钱包,
Privacy,隐私,
Who Can See Posts,谁可以看到帖子,
Show My Followings,显示我的关注,
Show Chat Button,显示聊天按钮,
Notifications,通知,
General,通用,
Post Likes,帖子点赞,
Comments On Post,帖子评论,
Mentions,提及,
Gifts Received,收到的礼物,
Chat Message,聊天消息,
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,订阅Plus，享受无广告体验和个人资料验证图标。,
No Ads,无广告,
Get Verified,获得验证,
Subscribe Now,立即订阅,
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,订阅将按计划自动续订，除非在当前周期结束前24小时内取消。你可以随时从应用商店/Play商店设置中管理或取消订阅。,
User ID,用户ID,
Profile Image,个人资料图片,
Username,用户名,
Bio,简介,
Phone Number,电话号码,
Links,链接,
Link,链接,
Title,标题,
Add Link,添加链接,
Edit Link,编辑链接,
Edit,编辑,
Delete,删除,
Save,保存,
Share,分享,
Share Post,分享帖子,
Pin,置顶,
Unpin,取消置顶,
Block,屏蔽,
UnBlock,取消屏蔽,
Scan This code\nto check the profile,扫描此二维码查看个人资料,
Balance,余额,
Collected*,已收集,
Gifted*,已赠送,
GIF,GIF,
Purchased*,已购买*,
Coin Shop,硬币商店,
Recharge your wallet. And\nsend gifts to your favorite creators.,充值钱包，给你喜欢的创作者发送礼物。,
Purchase,购买,
Withdrawals,提现,
Request Withdrawal,申请提现,
Pending,待处理,
Completed,已完成,
Rejected,已拒绝,
Coin Balance,硬币余额,
Estimated Value,预估价值,
Estimated Amount,预估金额,
Amount,金额,
Enter Coin Amount..,输入硬币数量..,
Converted Amount,换算金额,
Create Feed,创建动态,
Write something here..,在此输入内容..,
Mention,提及,
Hashtags,话题标签,
Location,位置,
Allow Comments,允许评论,
Select Music,选择音乐,
Explore,探索,
Categories,分类,
Saved,已保存,
Preview,预览,
Change Cover,更改封面,
Upload Now,立即上传,
Discard,丢弃,
Done,完成,
Font Family,字体,
Type Something...,输入内容...,
Users,用户,
User,用户,
Places,地点,
Enter Live Stream Title...,输入直播标题...,
Start Live,开始直播,
Stop,停止,
Start Battle,开始对战,
Battle\nStarting\nin,对战\n即将\n开始,
Cancel,取消,
Yes,是,
Members,成员,
Audience,观众,
Invited,已邀请,
Invite,邀请,
Co-hosts,共同主持人,
Refuse,拒绝,
Accept,接受,
Host,主持人,
Guest,嘉宾,
Victory,胜利,
Defeat,失败,
Streamed For,直播时长,
Followers Gained,新增粉丝,
Total Coins Collected,总收集硬币,
Go Home,返回首页,
Stream Ended!,直播结束！,
Your Stream Ended!,你的直播已结束！,
Below is the summary of your stream!,以下是你的直播总结！,
From Battle,来自对战,
Live,直播,
Check Profile,查看资料,
You are sending coins to @color Participant,你正在向@color参与者发送硬币,
You will be sent back to main view in...,你将被返回主视图...,
The live stream has ended because min. @viewers_count viewers are required to keep it going.,直播已结束，因为需要至少@viewers_count观众才能继续。,
Please enter an email. The email field is empty.,请输入邮箱。邮箱字段为空。,
Please enter a password. The password field is empty.,请输入密码。密码字段为空。,
No user found with that email. Please register with this email.,未找到该邮箱的用户。请用此邮箱注册。,
Incorrect password provided for this user.,该用户的密码不正确。,
The password provided is too weak.,提供的密码太弱。,
The account already exists for that email.,该邮箱已注册账号。,
Please enter a full name. The full name field is empty.,请输入全名。全名字段为空。,
Please enter a username. The username field is empty.,请输入用户名。用户名字段为空。,
Please enter a URL link. The link field is empty.,请输入URL链接。链接字段为空。,
Please enter a valid URL link,请输入有效的URL链接,
Please enter a title. The title field is empty.,请输入标题。标题字段为空。,
Please enter a valid username.,请输入有效的用户名。,
Please confirm your password. The confirm password field is empty.,请确认密码。确认密码字段为空。,
The password and confirm password do not match.,密码和确认密码不匹配。,
The email is incorrect. Please enter a valid email.,邮箱不正确。请输入有效邮箱。,
A verification link has been sent to your email. Please verify the link to log in.,验证链接已发送至你的邮箱。请验证链接以登录。,
"Please verify your email first, then proceed to log in.",请先验证邮箱，然后登录。,
Delete Link?,删除链接？,
Phone Code,电话代码,
No Data Found,未找到数据,
Are you sure you want to delete this link? This action cannot be undone.,确定删除此链接吗？此操作无法撤销。,
Uploading post...,正在上传帖子...,
Uploading story...,正在上传故事...,
Post uploaded successfully.,帖子上传成功。,
Story uploaded successfully.,故事上传成功。,
Uploading failed.,上传失败。,
Add Filter,添加滤镜,
Apply to all,应用到全部,
An error occurred while applying the video filter.,应用视频滤镜时出错。,
An error occurred while compress the video.,压缩视频时出错。,
Delete Post?,删除帖子？,
"Are you sure you want to delete this post? Once deleted, it cannot be restored.",确定删除此帖子吗？删除后将无法恢复。,
Your post has been pinned.,你的帖子已置顶。,
Your post has been unpinned.,你的帖子已取消置顶。,
You can pin maximum @pin_count post.,你最多只能置顶@pin_count个帖子。,
You can pin maximum @pin_comment_count comment.,你最多只能置顶@pin_comment_count条评论。,
