key,value
Language,Language
FROM AROUND\nTHE WORLD,FROM AROUND\nTHE WORLD
Continue,Continue
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Share your talent with the\npeople around the world\nand build your healthy fanbase.
Next,Next
GET\nAPPRECIATED,GET\nAPPRECIATED
Select,Select
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!"
MULTIPLE SOCIAL\nGATEWAYS,MULTIPLE SOCIAL\nGATEWAYS
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!"
Nearby,Nearby
Following,Following
Followers Only,Followers Only
Everyone,Everyone
Follow,Follow
More,More
Less,Less
Comments,Comments
Reply,Reply
Likes,Likes
View,View
Hide,Hide
Replies,Replies
Views,Views
POST,POST
Posts,Posts
Write here,Write here
What do you think,What do you think
Replying to,Replying to
"Coins You Have,","Coins You Have,"
Coins,Coins
Coin,Coin
Send,Send
Send Gifts,Send Gifts
"Your gift has been sent,","Your gift has been sent,"
Successfully,Successfully
Check Videos,Check Videos
Audio Details,Audio Details
Make Reel,Make Reel
Reels,Reels
Report @reportType,Report @reportType
Report,Report
Country,Country
Description,Description
Submit,Submit
"By proceeding forward, You agree to the,","By proceeding forward, You agree to the,"
Privacy Policy,Privacy Policy
and,and
Terms of Use,Terms of Use
Description here..,Description here..
SIGN IN,SIGN IN
TO CONTINUE,TO CONTINUE
Enter Your Email,Enter Your Email
Enter Password,Enter Password
Forget Password?,Forget Password?
Log in,Log in
Log out,Log out
Delete Account,Delete Account
Create account here!,Create account here!
Continue With,Continue With
SIGN UP &,SIGN UP &
START JOURNEY,START JOURNEY
Full Name,Full Name
Email,Email
Password,Password
Re-Type Password,Re-Type Password
Enter here..,Enter here..
Create Account,Create Account
Enter Full Name,Enter Full Name
LIVESTREAMS,LIVESTREAMS
Search here..,Search here..
Viewers,Viewers
Messages,Messages
Message,Message
Chats,Chats
Requests,Requests
Followers,Followers
LVL,LVL
Settings,Settings
Open Setting,Open Setting
Publish,Publish
Website,Website
Instagram,Instagram
Youtube,Youtube
Shop Now,Shop Now
Feed,Feed
Activity,Activity
System,System
Story,Story
Unfollow,Unfollow
Go Live,Go Live
Levels,Levels
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire."
Level,Level
Collection,Collection
You,You
Become,Become
PLUS+,PLUS+
Personal,Personal
Edit Profile,Edit Profile
Saved Posts,Saved Posts
Languages,Languages
Blocked Users,Blocked Users
