key,value
Language,Dil
FROM AROUND\nTHE WORLD,DÜNYANIN\nHER YERİNDEN
Continue,Devam Et
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Yeteneklerinizi dünyadaki\ninsanlarla paylaşın ve\nsadık bir hayran kitlesi oluşturun.
Next,Sonraki
GET\nAPPRECIATED,TAKDİR\nGÖR
Select,Seç
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Hayranlarınızdan beğeni ve yorum alın,\nbu da daha fazla içerik üretmeniz için\nsizi motive etsin!"
MULTIPLE SOCIAL\nGATEWAYS,ÇOKLU SOSYAL\nPLATFORMLAR
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Reels, fotoğraf, video paylaşın, canlı yayın\nyapın. Size ve kitlenize uygun olan\nherhangi bir yolu seçin!"
Nearby,Yakınımdaki
Following,Takip Edilenler
Followers Only,Sadece Takipçiler
Everyone,Herkes
Follow,Takip Et
More,Daha Fazla
Less,Daha Az
Comments,Yorumlar
Reply,Yanıtla
Likes,Beğeniler
View,Görüntüle
Hide,Gizle
Replies,Yanıtlar
Views,Görüntülenme
POST,GÖNDER
Posts,Gönderiler
Write here,Buraya yazın
What do you think,Ne düşünüyorsunuz?
Replying to,Yanıtlanıyor
"Coins You Have,","Sahip Olduğunuz Jetonlar,"
Coins,Jetonlar
Coin,Jeton
Send,Gönder
Send Gifts,Hediye Gönder
"Your gift has been sent,","Hediyeniz gönderildi,"
Successfully,Başarıyla
Check Videos,Videoları İncele
Audio Details,Ses Detayları
Make Reel,Reel Oluştur
Reels,Reels
Report @reportType,Şikayet Et @reportType
Report,Şikayet Et
Country,Ülke
Description,Açıklama
Submit,Gönder
"By proceeding forward, You agree to the,","Devam ederek, aşağıdakileri kabul etmiş olursunuz:"
Privacy Policy,Gizlilik Politikası
and,ve
Terms of Use,Kullanım Şartları
Description here..,Açıklama buraya..
SIGN IN,GİRİŞ YAP
TO CONTINUE,DEVAM ETMEK İÇİN
Enter Your Email,E-postanızı Girin
Enter Password,Şifrenizi Girin
Forget Password?,Şifremi Unuttum?
Log in,Giriş Yap
Log out,Çıkış Yap
Delete Account,Hesabı Sil
Create account here!,Buradan hesap oluşturun!
Continue With,İle Devam Et
SIGN UP &,KAYDOL &
START JOURNEY,YOLCULUĞA BAŞLA
Full Name,Tam Adı
Email,E-posta
Password,Şifre
Re-Type Password,Şifreyi Tekrar Girin
Enter here..,Buraya girin..
Create Account,Hesap Oluştur
Enter Full Name,Tam Adınızı Girin
LIVESTREAMS,CANLI YAYINLAR
Search here..,Burada arayın..
Viewers,İzleyiciler
Messages,Mesajlar
Message,Mesaj
Chats,Sohbetler
Requests,İstekler
Followers,Takipçiler
LVL,SEVİYE
Settings,Ayarlar
Open Setting,Ayarları Aç
Publish,Yayınla
Website,Web Sitesi
Instagram,Instagram
Youtube,YouTube
Shop Now,Şimdi Alışveriş Yap
Feed,Akış
Activity,Etkinlik
System,Sistem
Story,Hikaye
Unfollow,Takibi Bırak
Go Live,Canlı Yayın Aç
Levels,Seviyeler
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Daha fazla jeton toplayın, yeni seviyelere ulaşın ve rozetinizi profilinizde gururla sergileyin."
Level,Seviye
Collection,Koleksiyon
You,Sen
Become,Ol
PLUS+,ARTI+
Personal,Kişisel
Edit Profile,Profili Düzenle
Saved Posts,Kaydedilen Gönderiler
Languages,Diller
Blocked Users,Engellenen Kullanıcılar
My QR Code,QR Kodum
Coin Wallet,Jeton Cüzdanı
Privacy,Gizlilik
Who Can See Posts,Gönderilerimi Kimler Görebilir
Show My Followings,Takip Ettiklerimi Göster
Show Chat Button,Sohbet Düğmesini Göster
Notifications,Bildirimler
General,Genel
Post Likes,Gönderi Beğenileri
Comments On Post,Gönderi Yorumları
Mentions,Etiketlemeler
Gifts Received,Alınan Hediyeler
Chat Message,Sohbet Mesajı
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,"Plus'a abone olun ve reklamsız deneyimin\ntadını çıkarın, profilinizde onay rozeti\nkazanın."
No Ads,Reklamsız
Get Verified,Onaylanmış Ol
Subscribe Now,Şimdi Abone Ol
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"Abonelik, mevcut dönem bitiminden 24 saat önce iptal edilmediği sürece plana göre otomatik olarak yenilenir. Abonelikleri uygulama mağazası/Play Store ayarlarından yönetebilir veya iptal edebilirsiniz."
User ID,Kullanıcı ID'si
Profile Image,Profil Resmi
Username,Kullanıcı Adı
Bio,Biyografi
Phone Number,Telefon Numarası
Links,Bağlantılar
Link,Bağlantı
Title,Başlık
Add Link,Bağlantı Ekle
Edit Link,Bağlantıyı Düzenle
Edit,Düzenle
Delete,Sil
Save,Kaydet
Share,Paylaş
Share Post,Gönderiyi Paylaş
Pin,Sabitle
Unpin,Sabitlemeyi Kaldır
Block,Engelle
UnBlock,Engeli Kaldır
Scan This code\nto check the profile,Profili kontrol etmek için\nbu kodu taratın
Balance,Bakiye
Collected*,Toplanan*
Gifted*,Hediye Edilen*
GIF,GIF
Purchased*,Satın Alınan*
Coin Shop,Jeton Dükkanı
Recharge your wallet. And\nsend gifts to your favorite creators.,Cüzdanınızı doldurun ve\nfavori içerik üreticilerinize hediye gönderin.
Purchase,Satın Al
Withdrawals,Çekme İşlemleri
Request Withdrawal,Çekme Talebi
Pending,Beklemede
Completed,Tamamlandı
Rejected,Reddedildi
Coin Balance,Jeton Bakiyesi
Estimated Value,Tahmini Değer
Estimated Amount,Tahmini Miktar
Amount,Miktar
Enter Coin Amount..,Jeton Miktarını Girin..
Converted Amount,Dönüştürülen Miktar
Create Feed,Gönderi Oluştur
Write something here..,Buraya bir şeyler yazın..
Mention,Etiketle
Hashtags,Hashtag'ler
Location,Konum
Allow Comments,Yorumlara İzin Ver
Select Music,Müzik Seç
Explore,Keşfet
Categories,Kategoriler
Saved,Kaydedilenler
Preview,Önizleme
Change Cover,Kapağı Değiştir
Upload Now,Hemen Yükle
Discard,Vazgeç
Done,Tamamlandı
Font Family,Yazı Tipi
Type Something...,Bir Şeyler Yazın...
Users,Kullanıcılar
User,Kullanıcı
Places,Mekanlar
Enter Live Stream Title...,Canlı Yayın Başlığını Girin...
Start Live,Canlı Yayını Başlat
Stop,Durdur
Start Battle,Savaş Başlat
Battle\nStarting\nin,Savaş\nBaşlıyor\nŞu Kadar Kaldı:
Cancel,İptal
Yes,Evet
Members,Üyeler
Audience,İzleyiciler
Invited,Davetliler
Invite,Davet Et
Co-hosts,Eş Yayıncılar
Refuse,Reddet
Accept,Kabul Et
Host,Yayıncı
Guest,Konuk
Victory,Zafer
Defeat,Yenilgi
Streamed For,Yayın Süresi
Followers Gained,Kazanılan Takipçiler
Total Coins Collected,Toplanan Jetonlar
Go Home,Ana Sayfaya Dön
Stream Ended!,Yayın Sonlandı!
Your Stream Ended!,Yayınınız Sonlandı!
Below is the summary of your stream!,Yayınınızın özeti aşağıdadır!
From Battle,Savaştan
Live,Canlı
Check Profile,Profili İncele
You are sending coins to @color Participant,@color Katılımcısı'na jeton gönderiyorsunuz
You will be sent back to main view in...,Ana görünüme şu kadar sürede döneceksiniz:...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,Canlı yayın sonlandırıldı çünkü devam etmesi için en az @viewers_count izleyici gerekiyor.
