key,value
Language,Lingua
FROM AROUND\nTHE WORLD,DA TUTTO IL MONDO
Continue,Continua
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Condividi il tuo talento con persone di tutto il mondo e costruisci una base di fan fedeli.
Next,Avanti
GET\nAPPRECIATED,OTTIENI APPREZZAMENTO
Select,Seleziona
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",Ricevi like e commenti dai tuoi fan che ti motiveranno a creare più contenuti!
MULTIPLE SOCIAL\nGATEWAYS,MULTIPLI SOCIAL GATEWAY
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Pubblica Reels, foto, video, vai in diretta. Scegli il metodo più adatto a te e al tuo pubblico!"
Nearby,Nelle vicinanze
Following,Seguiti
Followers Only,Solo follower
Everyone,Tutti
Follow,Segui
More,Più
Less,Meno
Comments,Commenti
Reply,Rispondi
Likes,Like
View,Visualizza
Hide,Nascondi
Replies,Risposte
Views,Visualizzazioni
POST,PUBBLICA
Posts,Post
Write here,Scrivi qui
What do you think,Cosa ne pensi?
Replying to,Risposta a
"Coins You Have,","Monete che hai,"
Coins,Monete
Coin,Moneta
Send,Invia
Send Gifts,Invia regali
"Your gift has been sent,","Il tuo regalo è stato inviato,"
Successfully,Con successo
Check Videos,Guarda video
Audio Details,Dettagli audio
Make Reel,Crea Reel
Reels,Reels
Report @reportType,Segnala @reportType
Report,Segnala
Country,Paese
Description,Descrizione
Submit,Invia
"By proceeding forward, You agree to the,","Proseguendo, accetti la"
Privacy Policy,Privacy Policy
and,e i
Terms of Use,Termini di servizio
Description here..,Descrizione qui..
SIGN IN,ACCEDI
TO CONTINUE,PER CONTINUARE
Enter Your Email,Inserisci la tua email
Enter Password,Inserisci password
Forget Password?,Password dimenticata?
Log in,Accedi
Log out,Esci
Delete Account,Elimina account
Create account here!,Crea account qui!
Continue With,Continua con
SIGN UP &,ISCRIVITI &
START JOURNEY,INIZIA IL VIAGGIO
Full Name,Nome completo
Email,Email
Password,Password
Re-Type Password,Ripeti password
Enter here..,Inserisci qui..
Create Account,Crea account
Enter Full Name,Inserisci nome completo
LIVESTREAMS,DIRETTE
Search here..,Cerca qui..
Viewers,Spettatori
Messages,Messaggi
Message,Messaggio
Chats,Chat
Requests,Richieste
Followers,Follower
LVL,LIVELLO
Settings,Impostazioni
Open Setting,Apri impostazioni
Publish,Pubblica
Website,Sito web
Instagram,Instagram
Youtube,YouTube
Shop Now,Acquista ora
Feed,Feed
Activity,Attività
System,Sistema
Story,Storia
Unfollow,Smetti di seguire
Go Live,Vai in diretta
Levels,Livelli
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Raccogli più monete, raggiungi nuovi livelli e mostra con orgoglio il tuo badge sul profilo."
Level,Livello
Collection,Collezione
You,Tu
Become,Diventa
PLUS+,PLUS+
Personal,Personale
Edit Profile,Modifica profilo
Saved Posts,Post salvati
Languages,Lingue
Blocked Users,Utenti bloccati
My QR Code,Il mio QR code
Coin Wallet,Portafoglio monete
Privacy,Privacy
Who Can See Posts,Chi può vedere i post
Show My Followings,Mostra chi seguo
Show Chat Button,Mostra pulsante chat
Notifications,Notifiche
General,Generali
Post Likes,Like ai post
Comments On Post,Commenti ai post
Mentions,Menzioni
Gifts Received,Regali ricevuti
Chat Message,Messaggio chat
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Abbonati a Plus per un'esperienza senza pubblicità e un badge verificato sul tuo profilo.
No Ads,Senza pubblicità
Get Verified,Ottieni verifica
Subscribe Now,Abbonati ora
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,L'abbonamento si rinnova automaticamente secondo il piano se non annullato entro 24 ore prima del termine del periodo corrente. Puoi gestire e cancellare gli abbonamenti in qualsiasi momento dalle impostazioni dell'App Store/Play Store.
User ID,ID utente
Profile Image,Immagine profilo
Username,Username
Bio,Bio
Phone Number,Numero di telefono
Links,Link
Link,Link
Title,Titolo
Add Link,Aggiungi link
Edit Link,Modifica link
Edit,Modifica
Delete,Elimina
Save,Salva
Share,Condividi
Share Post,Condividi post
Pin,Fissa
Unpin,Sfissa
Block,Blocca
UnBlock,Sblocca
Scan This code\nto check the profile,Scansiona questo codice per vedere il profilo
Balance,Saldo
Collected*,Raccolte*
Gifted*,Regalate*
GIF,GIF
Purchased*,Acquistate*
Coin Shop,Negozio monete
Recharge your wallet. And\nsend gifts to your favorite creators.,Ricarica il portafoglio e invia regali ai tuoi creator preferiti.
Purchase,Acquista
Withdrawals,Prelievi
Request Withdrawal,Richiedi prelievo
Pending,In attesa
Completed,Completato
Rejected,Rifiutato
Coin Balance,Saldo monete
Estimated Value,Valore stimato
Estimated Amount,Importo stimato
Amount,Importo
Enter Coin Amount..,Inserisci quantità monete..
Converted Amount,Importo convertito
Create Feed,Crea feed
Write something here..,Scrivi qualcosa qui..
Mention,Menziona
Hashtags,Hashtag
Location,Luogo
Allow Comments,Permetti commenti
Select Music,Seleziona musica
Explore,Esplora
Categories,Categorie
Saved,Salvati
Preview,Anteprima
Change Cover,Cambia copertina
Upload Now,Carica ora
Discard,Annulla
Done,Fatto
Font Family,Famiglia di font
Type Something...,Scrivi qualcosa...
Users,Utenti
User,Utente
Places,Luoghi
Enter Live Stream Title...,Inserisci titolo diretta...
Start Live,Inizia diretta
Stop,Ferma
Start Battle,Inizia battle
Battle\nStarting\nin,Battle\ninizia\ntra
Cancel,Annulla
Yes,Sì
Members,Membri
Audience,Pubblico
Invited,Invitati
Invite,Invita
Co-hosts,Co-conduttori
Refuse,Rifiuta
Accept,Accetta
Host,Conduttore
Guest,Ospite
Victory,Vittoria
Defeat,Sconfitta
Streamed For,In onda da
Followers Gained,Nuovi follower
Total Coins Collected,Monete totali raccolte
Go Home,Torna alla home
Stream Ended!,Diretta terminata!
Your Stream Ended!,La tua diretta è terminata!
Below is the summary of your stream!,Ecco il riepilogo della tua diretta!
From Battle,Dalla battle
Live,In diretta
Check Profile,Vedi profilo
You are sending coins to @color Participant,Stai inviando monete a @color Partecipante
You will be sent back to main view in...,Sarai reindirizzato alla schermata principale tra...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,La diretta è terminata perché servono almeno @viewers_count spettatori per continuare.
Please enter an email. The email field is empty.,Inserisci un'email. Il campo email è vuoto.
Please enter a password. The password field is empty.,Inserisci una password. Il campo password è vuoto.
No user found with that email. Please register with this email.,Nessun utente trovato con questa email. Registrati con questa email.
Incorrect password provided for this user.,Password errata per questo utente.
The password provided is too weak.,La password inserita è troppo debole.
The account already exists for that email.,Esiste già un account con questa email.
Please enter a full name. The full name field is empty.,Inserisci un nome completo. Il campo nome è vuoto.
Please enter a username. The username field is empty.,Inserisci un username. Il campo username è vuoto.
Please enter a URL link. The link field is empty.,Inserisci un link URL. Il campo link è vuoto.
Please enter a valid URL link,Inserisci un link URL valido.
Please enter a title. The title field is empty.,Inserisci un titolo. Il campo titolo è vuoto.
Please enter a valid username.,Inserisci un username valido.
Please confirm your password. The confirm password field is empty.,Conferma la password. Il campo conferma password è vuoto.
The password and confirm password do not match.,Password e conferma non corrispondono.
The email is incorrect. Please enter a valid email.,L'email non è valida. Inserisci un'email valida.
A verification link has been sent to your email. Please verify the link to log in.,Un link di verifica è stato inviato alla tua email. Verificalo per accedere.
"Please verify your email first, then proceed to log in.","Verifica prima la tua email, poi procedi con l'accesso."
Delete Link?,Eliminare il link?
Phone Code,Codice telefono
No Data Found,Nessun dato trovato
Are you sure you want to delete this link? This action cannot be undone.,Sei sicuro di voler eliminare questo link? Questa azione è irreversibile.
Uploading post...,Caricamento post in corso...
Uploading story...,Caricamento storia in corso...
Post uploaded successfully.,Post caricato con successo.
Story uploaded successfully.,Storia caricata con successo.
Uploading failed.,Caricamento fallito.
Add Filter,Aggiungi filtro
Apply to all,Applica a tutti
An error occurred while applying the video filter.,Errore nell'applicare il filtro video.
An error occurred while compress the video.,Errore nella compressione del video.
Delete Post?,Eliminare il post?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Sei sicuro di voler eliminare questo post? Una volta eliminato, non potrà essere recuperato."
Your post has been pinned.,Il tuo post è stato fissato.
Your post has been unpinned.,Il tuo post è stato sfissato.
You can pin maximum @pin_count post.,Puoi fissare al massimo @pin_count post.
You can pin maximum @pin_comment_count comment.,Puoi fissare al massimo @pin_comment_count commenti.
