key,value
Language,भाषा
FROM AROUND\nTHE WORLD,दुनिया भर से
Continue,जारी रखें
Share your talent with the\npeople around the world\nand build your healthy fanbase.,अपनी प्रतिभा को दुनिया भर के लोगों के साथ साझा करें और अपने वफादार फैनबेस का निर्माण करें।
Next,अगला
GET\nAPPRECIATED,सराहना पाएं
Select,चुनें
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","अपने फैंस से लाइक्स और कमेंट्स प्राप्त करें, जो आपको और अधिक कंटेंट बनाने के लिए प्रेरित करेगा!"
MULTIPLE SOCIAL\nGATEWAYS,एकाधिक सोशल प्लेटफॉर्म्स
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","रील्स, इमेजेस, वीडियोस पोस्ट करें, लाइव जाएं। अपने और अपने दर्शकों के लिए सही तरीका चुनें!"
Nearby,आस-पास
Following,फॉलो किए गए
Followers Only,केवल फॉलोअर्स
Everyone,सभी
Follow,फॉलो करें
More,अधिक
Less,कम
Comments,टिप्पणियाँ
Reply,जवाब दें
Likes,लाइक्स
View,देखें
Hide,छुपाएं
Replies,जवाब
Views,व्यूज़
POST,पोस्ट
Posts,पोस्ट्स
Write here,यहाँ लिखें
What do you think,आप क्या सोचते हैं?
Replying to,जवाब दे रहे हैं
"Coins You Have,","आपके पास कॉइन्स,"
Coins,कॉइन्स
Coin,कॉइन
Send,भेजें
Send Gifts,गिफ्ट्स भेजें
"Your gift has been sent,","आपका गिफ्ट भेज दिया गया है,"
Successfully,सफलतापूर्वक
Check Videos,वीडियोज़ देखें
Audio Details,ऑडियो विवरण
Make Reel,रील बनाएं
Reels,रील्स
Report @reportType,रिपोर्ट @reportType
Report,रिपोर्ट करें
Country,देश
Description,विवरण
Submit,सबमिट करें
"By proceeding forward, You agree to the,","आगे बढ़कर, आप सहमत होते हैं,"
Privacy Policy,गोपनीयता नीति
and,और
Terms of Use,उपयोग की शर्तें
Description here..,विवरण यहाँ लिखें..
SIGN IN,साइन इन
TO CONTINUE,जारी रखने के लिए
Enter Your Email,अपना ईमेल दर्ज करें
Enter Password,अपना पासवर्ड दर्ज करें
Forget Password?,पासवर्ड भूल गए?
Log in,लॉग इन करें
Log out,लॉग आउट करें
Delete Account,खाता हटाएं
Create account here!,यहां खाता बनाएं!
Continue With,के साथ जारी रखें
SIGN UP &,साइन अप करें और
START JOURNEY,अपनी यात्रा शुरू करें
Full Name,पूरा नाम
Email,ईमेल
Password,पासवर्ड
Re-Type Password,पासवर्ड फिर से दर्ज करें
Enter here..,यहाँ दर्ज करें..
Create Account,खाता बनाएं
Enter Full Name,अपना पूरा नाम दर्ज करें
LIVESTREAMS,लाइवस्ट्रीम्स
Search here..,यहाँ खोजें..
Viewers,दर्शक
Messages,संदेश
Message,मैसेज
Chats,चैट्स
Requests,अनुरोध
Followers,फॉलोअर्स
LVL,स्तर
Settings,सेटिंग्स
Open Setting,सेटिंग खोलें
Publish,प्रकाशित करें
Website,वेबसाइट
Instagram,इंस्टाग्राम
Youtube,यूट्यूब
Shop Now,अभी खरीदें
Feed,फीड
Activity,गतिविधि
System,सिस्टम
Story,स्टोरी
Unfollow,अनफॉलो करें
Go Live,लाइव जाएं
Levels,स्तर
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","अधिक कॉइन्स इकट्ठा करें, नए स्तरों तक पहुंचें और अपने प्रोफाइल पर अपना बैज गर्व से प्रदर्शित करें।"
Level,स्तर
Collection,संग्रह
You,आप
Become,बनें
PLUS+,प्लस+
Personal,व्यक्तिगत
Edit Profile,प्रोफाइल संपादित करें
Saved Posts,सहेजी गई पोस्ट्स
Languages,भाषाएँ
Blocked Users,ब्लॉक किए गए उपयोगकर्ता
My QR Code,मेरा QR कोड
Coin Wallet,कॉइन वॉलेट
Privacy,गोपनीयता
Who Can See Posts,पोस्ट्स कौन देख सकता है
Show My Followings,मेरे फॉलोइंग्स दिखाएं
Show Chat Button,चैट बटन दिखाएं
Notifications,सूचनाएं
General,सामान्य
Post Likes,पोस्ट लाइक्स
Comments On Post,पोस्ट पर टिप्पणियाँ
Mentions,मेंशन्स
Gifts Received,प्राप्त गिफ्ट्स
Chat Message,चैट संदेश
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,प्लस की सदस्यता लें और विज्ञापन-मुक्त अनुभव प्राप्त करें तथा अपने प्रोफाइल पर सत्यापित बैज पाएं।
No Ads,विज्ञापन-मुक्त
Get Verified,सत्यापित हों
Subscribe Now,अभी सब्सक्राइब करें
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,सब्सक्रिप्शन वर्तमान अवधि के अंत से 24 घंटे पहले रद्द न किए जाने पर योजना के अनुसार स्वतः नवीनीकृत होगा। आप कभी भी ऐप स्टोर/प्ले स्टोर सेटिंग्स से सब्सक्रिप्शन प्रबंधित या रद्द कर सकते हैं।
User ID,उपयोगकर्ता आईडी
Profile Image,प्रोफाइल चित्र
Username,उपयोगकर्ता नाम
Bio,बायो
Phone Number,फोन नंबर
Links,लिंक्स
Link,लिंक
Title,शीर्षक
Add Link,लिंक जोड़ें
Edit Link,लिंक संपादित करें
Edit,संपादित करें
Delete,हटाएं
Save,सहेजें
Share,साझा करें
Share Post,पोस्ट साझा करें
Pin,पिन करें
Unpin,अनपिन करें
Block,ब्लॉक करें
UnBlock,अनब्लॉक करें
Scan This code\nto check the profile,प्रोफाइल देखने के लिए इस कोड को स्कैन करें
Balance,शेष राशि
Collected*,एकत्रित*
Gifted*,गिफ्ट किया गया*
GIF,GIF
Purchased*,खरीदा गया*
Coin Shop,कॉइन शॉप
Recharge your wallet. And\nsend gifts to your favorite creators.,अपने वॉलेट को रिचार्ज करें और अपने पसंदीदा क्रिएटर्स को गिफ्ट्स भेजें।
Purchase,खरीदारी
Withdrawals,निकासी
Request Withdrawal,निकासी अनुरोध
Pending,लंबित
Completed,पूर्ण
Rejected,अस्वीकृत
Coin Balance,कॉइन बैलेंस
Estimated Value,अनुमानित मूल्य
Estimated Amount,अनुमानित राशि
Amount,राशि
Enter Coin Amount..,कॉइन राशि दर्ज करें..
Converted Amount,परिवर्तित राशि
Create Feed,फीड बनाएं
Write something here..,यहाँ कुछ लिखें..
Mention,मेंशन
Hashtags,हैशटैग्स
Location,स्थान
Allow Comments,टिप्पणियाँ अनुमति दें
Select Music,संगीत चुनें
Explore,एक्सप्लोर करें
Categories,श्रेणियाँ
Saved,सहेजे गए
Preview,पूर्वावलोकन
Change Cover,कवर बदलें
Upload Now,अभी अपलोड करें
Discard,खारिज करें
Done,पूर्ण
Font Family,फॉन्ट फैमिली
Type Something...,कुछ टाइप करें...
Users,उपयोगकर्ता
User,यूज़र
Places,स्थान
Enter Live Stream Title...,लाइव स्ट्रीम शीर्षक दर्ज करें...
Start Live,लाइव शुरू करें
Stop,रोकें
Start Battle,बैटल शुरू करें
Battle\nStarting\nin,बैटल\nशुरू हो रही है\nमें
Cancel,रद्द करें
Yes,हाँ
Members,सदस्य
Audience,दर्शक
Invited,आमंत्रित
