key,value
Language,Språk
FROM AROUND\nTHE WORLD,FRA HELE VERDEN
Continue,Fortsett
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Del talentet ditt med folk over hele verden og bygg en sunn fanbase.
Next,Neste
GET\nAPPRECIATED,FÅ\nVERDSETT
Select,Velg
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Samle likerklikk og kommentarer fra fansen din, noe som gir deg muligheten til å lage mer innhold!"
MULTIPLE SOCIAL\nGATEWAYS,FLERE SOSIALE INNGANGER
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Publiser filmsekvenser, bilder, videoer, gå live. Velg en måte som passer deg og publikummet ditt!"
Nearby,I nærheten
Following,Følger
Followers Only,Kun følgere
Everyone,Alle
Follow,Følger
More,Mer
Less,Mindre
Comments,Kommentarer
Reply,Svar
Likes,Liker
View,Vis
Hide,Skjul
Replies,Svar
Views,Visninger
POST,LEGG INN
Posts,Innlegg
Write here,Skriv her
What do you think,Hva synes du
Replying to,Svar på
"Coins You Have,","Mynter du har,"
Coins,Mynter
Coin,Mynt
Send,Send
Send Gifts,Send gaver
"Your gift has been sent,","Gaven din er sendt,"
Successfully,Vellykket
Check Videos,Sjekk videoer
Audio Details,Lyddetaljer
Make Reel,Lag rulle
Reels,Ruller
Report @reportType,Rapporter @rapporttype
Report,Rapporter
Country,Land
Description,Beskrivelse
Submit,Send inn
"By proceeding forward, You agree to the,","Ved å fortsette videre, godtar du"
Privacy Policy,Personvernerklæringen
and,og
Terms of Use,Bruksvilkårene
Description here..,Beskrivelse her..
SIGN IN,LOGG INN
TO CONTINUE,FOR Å FORTSETTE
Enter Your Email,Skriv inn e-posten din
Enter Password,Skriv inn passord
Forget Password?,Glemt passord?
Log in,Logg inn
Log out,Logg ut
Delete Account,Slett konto
Create account here!,Opprett konto her!
Continue With,Fortsett med
SIGN UP &,REGISTRER DEG OG
START JOURNEY,START REISEN
Full Name,Fullt navn
Email,E-post
Password,Passord
Re-Type Password,Skriv inn passordet på nytt
Enter here..,Skriv inn her..
Create Account,Opprett konto
Enter Full Name,Skriv inn fullt navn
LIVESTREAMS,DIREKTESTRØMMER
Search here..,Søk her..
Viewers,Seere
Messages,Meldinger
Message,Melding
Chats,Chatter
Requests,Forespørsler
Followers,Følgere
LVL,Nivånivå
Settings,Innstillinger
Open Setting,Åpne innstillinger
