key,value,
Language,Język,
FROM AROUND\nTHE WORLD,Z CAŁEGO ŚWIATA,
Continue,Kontynuuj,
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Podziel się swoim talentem z ludźmi na całym świecie i zbuduj swoją lojalną grupę fanów.,
Next,Dalej,
GET\nAPPRECIATED,OTRZYMUJ UZNANIE,
Select,Wybierz,
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Zbieraj polubienia i komentarze od fanów, co zmotywuje Cię do tworzenia jeszcze więcej treści!",
MULTIPLE SOCIAL\nGATEWAYS,WIELE SPOSOBÓW DZIELENIA SIĘ,
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Publikuj Reels, zdjęcia, filmy, transmituj na żywo. Wybierz sposób, który najlepiej pasuje do Ciebie i Twojej publiczności!",
Nearby,W pobliżu,
Following,Obserwowani,
Followers Only,Tylko obserwujący,
Everyone,Wszyscy,
Follow,Obserwuj,
More,Więcej,
Less,Mniej,
Comments,Komentarze,
Reply,Odpowiedz,
Likes,Polubienia,
View,Zobacz,
Hide,Ukryj,
Replies,Odpowiedzi,
Views,Wyświetlenia,
POST,OPUBLIKUJ,
Posts,Posty,
Write here,Napisz tutaj,
What do you think,Co myślisz?,
Replying to,Odpowiadanie użytkownikowi,
"Coins You Have,",Posiadane monety:,
Coins,Monety,
Coin,Moneta,
Send,Wyślij,
Send Gifts,Wyślij prezenty,
"Your gift has been sent,","Twój prezent został wysłany,",
Successfully,Pomyślnie,
Check Videos,Sprawdź filmy,
Audio Details,Szczegóły dźwięku,
Make Reel,Stwórz Reelsa,
Reels,Reelsy,
Report @reportType,Zgłoś @reportType,
Report,Zgłoś,
Country,Kraj,
Description,Opis,
Submit,Zatwierdź,
"By proceeding forward, You agree to the,","Kontynuując, akceptujesz",
Privacy Policy,Politykę prywatności,
and,oraz,
Terms of Use,Warunki korzystania,
Description here..,Wpisz opis tutaj...,
SIGN IN,ZALOGUJ SIĘ,
TO CONTINUE,ABY KONTYNUOWAĆ,
Enter Your Email,Wprowadź swój email,
Enter Password,Wprowadź hasło,
Forget Password?,Zapomniałeś hasła?,
Log in,Zaloguj się,
Log out,Wyloguj się,
Delete Account,Usuń konto,
Create account here!,Utwórz konto tutaj!,
Continue With,Kontynuuj z,
SIGN UP &,ZAREJESTRUJ SIĘ I,
START JOURNEY,ROZPOCZNIJ PODRÓŻ,
Full Name,Pełne imię i nazwisko,
Email,Email,
Password,Hasło,
Re-Type Password,Powtórz hasło,
Enter here..,Wpisz tutaj...,
Create Account,Utwórz konto,
Enter Full Name,Wprowadź pełne imię i nazwisko,
LIVESTREAMS,TRANSMISJE NA ŻYWO,
Search here..,Szukaj tutaj...,
Viewers,Widzowie,
Messages,Wiadomości,
Message,Wiadomość,
Chats,Czaty,
Requests,Prośby,
Followers,Obserwujący,
LVL,POZIOM,
Settings,Ustawienia,
Open Setting,Otwórz ustawienia,
Publish,Publikuj,
Website,Strona internetowa,
Instagram,Instagram,
Youtube,YouTube,
Shop Now,Kup teraz,
Feed,Kanał,
Activity,Aktywność,
System,System,
Story,Historia,
Unfollow,Przestań obserwować,
Go Live,Rozpocznij transmisję na żywo,
Levels,Poziomy,
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Zbieraj więcej monet, awansuj na wyższe poziomy i pokaż swoją odznakę na profilu, aby wszyscy mogli ją podziwiać.",
Level,Poziom,
Collection,Kolekcja,
You,Ty,
Become,Zostań,
PLUS+,PLUS+,
Personal,Osobiste,
Edit Profile,Edytuj profil,
Saved Posts,Zapisane posty,
Languages,Języki,
Blocked Users,Zablokowani użytkownicy,
My QR Code,Mój kod QR,
Coin Wallet,Portfel monet,
Privacy,Prywatność,
Who Can See Posts,Kto może widzieć posty,
Show My Followings,Pokazuj moich obserwowanych,
Show Chat Button,Pokaż przycisk czatu,
Notifications,Powiadomienia,
General,Ogólne,
Post Likes,Polubienia postów,
Comments On Post,Komentarze pod postami,
Mentions,Wzmianki,
Gifts Received,Otrzymane prezenty,
Chat Message,Wiadomość na czacie,
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,"Zasubskrybuj Plus, aby cieszyć się doświadczeniem bez reklam i zweryfikowaną ikoną na swoim profilu.",
No Ads,Brak reklam,
Get Verified,Zdobądź weryfikację,
Subscribe Now,Subskrybuj teraz,
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"Subskrypcja odnawia się automatycznie zgodnie z planem, chyba że zostanie anulowana na 24 godziny przed końcem bieżącego okresu. Subskrypcje można zarządzać i anulować w dowolnym momencie w ustawieniach sklepu z aplikacjami.",
User ID,ID użytkownika,
Profile Image,Zdjęcie profilowe,
Username,Nazwa użytkownika,
Bio,Bio,
Phone Number,Numer telefonu,
Links,Linki,
Link,Link,
Title,Tytuł,
Add Link,Dodaj link,
Edit Link,Edytuj link,
Edit,Edytuj,
Delete,Usuń,
Save,Zapisz,
Share,Udostępnij,
Share Post,Udostępnij post,
Pin,Przypnij,
Unpin,Odepnij,
Block,Zablokuj,
UnBlock,Odblokuj,
Scan This code\nto check the profile,"Zeskanuj ten kod, aby sprawdzić profil",
Balance,Saldo,
Collected*,Zebrane*,
Gifted*,Podarowane*,
GIF,GIF,
Purchased*,Zakupione*,
Coin Shop,Sklep z monetami,
Recharge your wallet. And\nsend gifts to your favorite creators.,Doładuj swój portfel i wysyłaj prezenty ulubionym twórcom.,
Purchase,Zakup,
Withdrawals,Wypłaty,
Request Withdrawal,Zażądaj wypłaty,
Pending,Oczekujące,
Completed,Zakończone,
Rejected,Odrzucone,
Coin Balance,Saldo monet,
Estimated Value,Szacunkowa wartość,
Estimated Amount,Szacunkowa kwota,
Amount,Kwota,
Enter Coin Amount..,Wprowadź ilość monet...,
Converted Amount,Przeliczona kwota,
Create Feed,Utwórz wpis,
Write something here..,Napisz coś tutaj...,
Mention,Wzmianka,
Hashtags,Hasztagi,
Location,Lokalizacja,
Allow Comments,Zezwalaj na komentarze,
Select Music,Wybierz muzykę,
Explore,Odkrywaj,
Categories,Kategorie,
Saved,Zapisane,
Preview,Podgląd,
Change Cover,Zmień okładkę,
Upload Now,Prześlij teraz,
Discard,Odrzuć,
Done,Gotowe,
Font Family,Rodzina czcionek,
Type Something...,Wpisz coś...,
Users,Użytkownicy,
User,Użytkownik,
Places,Miejsca,
Enter Live Stream Title...,Wprowadź tytuł transmisji na żywo...,
Start Live,Rozpocznij transmisję,
Stop,Zatrzymaj,
Start Battle,Rozpocznij bitwę,
Battle\nStarting\nin,Bitwa\nRozpoczyna się\no,
Cancel,Anuluj,
Yes,Tak,
Members,Członkowie,
Audience,Publiczność,
Invited,Zaproszeni,
Invite,Zaproś,
Co-hosts,Współgospodarze,
Refuse,Odmów,
Accept,Zaakceptuj,
Host,Gospodarz,
Guest,Gość,
Victory,Zwycięstwo,
Defeat,Porażka,
Streamed For,Czas trwania transmisji,
Followers Gained,Nowi obserwujący,
Total Coins Collected,Łączna liczba zebranych monet,
Go Home,Wróć do głównej strony,
Stream Ended!,Transmisja zakończona!,
Your Stream Ended!,Twoja transmisja się zakończyła!,
Below is the summary of your stream!,Poniżej znajduje się podsumowanie Twojej transmisji!,
From Battle,Z bitwy,
Live,Na żywo,
Check Profile,Sprawdź profil,
You are sending coins to @color Participant,Wysyłasz monety do uczestnika @color,
You will be sent back to main view in...,Zostaniesz przeniesiony do głównego widoku za...,
The live stream has ended because min. @viewers_count viewers are required to keep it going.,"Transmisja na żywo została zakończona, ponieważ wymagana jest minimalna liczba @viewers_count widzów, aby kontynuować.",
Please enter an email. The email field is empty.,Wprowadź adres email. Pole email jest puste.,
Please enter a password. The password field is empty.,Wprowadź hasło. Pole hasła jest puste.,
No user found with that email. Please register with this email.,Nie znaleziono użytkownika z tym emailem. Zarejestruj się przy użyciu tego adresu.,
Incorrect password provided for this user.,Podano nieprawidłowe hasło dla tego użytkownika.,
The password provided is too weak.,Podane hasło jest zbyt słabe.,
The account already exists for that email.,Konto już istnieje dla tego adresu email.,
Please enter a full name. The full name field is empty.,Wprowadź pełne imię i nazwisko. Pole jest puste.,
Please enter a username. The username field is empty.,Wprowadź nazwę użytkownika. Pole jest puste.,
Please enter a URL link. The link field is empty.,Wprowadź link URL. Pole linku jest puste.,
Please enter a valid URL link,Wprowadź prawidłowy link URL,
Please enter a title. The title field is empty.,Wprowadź tytuł. Pole tytułu jest puste.,
Please enter a valid username.,Wprowadź prawidłową nazwę użytkownika.,
Please confirm your password. The confirm password field is empty.,Potwierdź hasło. Pole potwierdzenia hasła jest puste.,
The password and confirm password do not match.,Hasło i potwierdzenie hasła nie pasują do siebie.,
