key,value,
Language,Idioma,
FROM AROUND\nTHE WORLD,DE TODO O MUNDO,
Continue,Continuar,
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Compartilhe seu talento com pessoas ao redor do mundo e construa sua base de fãs leais.,
Next,Próximo,
GET\nAPPRECIATED,SEJA APRECIADO,
Select,Selecionar,
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Receba curtidas e comentários dos seus fãs, o que te motiva a criar ainda mais conteúdo!",
MULTIPLE SOCIAL\nGATEWAYS,MÚLTIPLAS PLATAFORMAS SOCIAIS,
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Poste Reels, fotos, vídeos, faça lives. Escolha a melhor forma para você e seu público!",
Nearby,Próximo,
Following,Seguindo,
Followers Only,Apenas seguidores,
Everyone,Todos,
Follow,Seguir,
More,Mais,
Less,Menos,
Comments,Comentários,
Reply,Responder,
Likes,Curtidas,
View,Ver,
Hide,Ocultar,
Replies,Respostas,
Views,Visualizações,
POST,POSTAR,
Posts,Posts,
Write here,Escreva aqui,
What do you think,O que você acha?,
Replying to,Respondendo a,
"Coins You Have,",Moedas que você tem:,
Coins,Moedas,
Coin,Moeda,
Send,Enviar,
Send Gifts,Enviar presentes,
"Your gift has been sent,","Seu presente foi enviado,",
Successfully,Com sucesso,
Check Videos,Ver vídeos,
Audio Details,Detalhes do áudio,
Make Reel,Criar Reel,
Reels,Reels,
Report @reportType,Denunciar @reportType,
Report,Denunciar,
Country,País,
Description,Descrição,
Submit,Enviar,
"By proceeding forward, You agree to the,","Ao prosseguir, você concorda com a",
Privacy Policy,Política de Privacidade,
and,e,
Terms of Use,Termos de Uso,
Description here..,Descrição aqui...,
SIGN IN,ENTRAR,
TO CONTINUE,PARA CONTINUAR,
Enter Your Email,Digite seu e-mail,
Enter Password,Digite sua senha,
Forget Password?,Esqueceu a senha?,
Log in,Entrar,
Log out,Sair,
Delete Account,Excluir conta,
Create account here!,Crie sua conta aqui!,
Continue With,Continuar com,
SIGN UP &,CADASTRE-SE E,
START JOURNEY,COMEÇE SUA JORNADA,
Full Name,Nome completo,
Email,E-mail,
Password,Senha,
Re-Type Password,Repita a senha,
Enter here..,Digite aqui...,
Create Account,Criar conta,
Enter Full Name,Digite o nome completo,
LIVESTREAMS,LIVES,
Search here..,Pesquise aqui...,
Viewers,Espectadores,
Messages,Mensagens,
Message,Mensagem,
Chats,Chats,
Requests,Solicitações,
Followers,Seguidores,
LVL,NÍVEL,
Settings,Configurações,
Open Setting,Abrir configurações,
Publish,Publicar,
Website,Site,
Instagram,Instagram,
Youtube,Youtube,
Shop Now,Compre agora,
Feed,Feed,
Activity,Atividade,
System,Sistema,
Story,História,
Unfollow,Deixar de seguir,
Go Live,Fazer live,
Levels,Níveis,
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Junte mais moedas, suba de nível e mostre sua medalha no perfil para todos admirarem.",
Level,Nível,
Collection,Coleção,
You,Você,
Become,Torne-se,
PLUS+,PLUS+,
Personal,Pessoal,
Edit Profile,Editar perfil,
Saved Posts,Posts salvos,
Languages,Idiomas,
Blocked Users,Usuários bloqueados,
My QR Code,Meu QR Code,
Coin Wallet,Carteira de moedas,
Privacy,Privacidade,
Who Can See Posts,Quem pode ver posts,
Show My Followings,Mostrar quem sigo,
Show Chat Button,Mostrar botão de chat,
Notifications,Notificações,
General,Geral,
Post Likes,Curtidas em posts,
Comments On Post,Comentários em posts,
Mentions,Menções,
Gifts Received,Presentes recebidos,
Chat Message,Mensagem no chat,
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Assine o Plus e tenha uma experiência sem anúncios e um selo de verificado no perfil.,
No Ads,Sem anúncios,
Get Verified,Verifique-se,
Subscribe Now,Assine agora,
