key,value
Language,Bahasa
FROM AROUND\nTHE WORLD,DARI SELURUH DUNIA
Continue,Lanjutkan
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Bagikan bakatmu dengan orang-orang di seluruh dunia dan bangun basis penggemar yang loyal.
Next,Selanjutnya
GET\nAPPRECIATED,DAPATKAN PENGHARGAAN
Select,Pilih
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",Dapatkan suka dan komentar dari penggemarmu yang akan memotivasimu untuk membuat lebih banyak konten!
MULTIPLE SOCIAL\nGATEWAYS,BERBAGAI PLATFORM SOSIAL
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Posting Reels, gambar, video, siaran langsung. Pilih cara yang paling cocok untukmu dan audiensmu!"
Nearby,Dekat
Following,Mengikuti
Followers Only,Hanya Pengikut
Everyone,Semua
Follow,Ikuti
More,Lebih
Less,Kurang
Comments,Komentar
Reply,Balas
Likes,Suka
View,Lihat
Hide,Sembunyikan
Replies,Balasan
Views,Tayangan
POST,POSTING
Posts,Postingan
Write here,Tulis di sini
What do you think,Apa pendapatmu?
Replying to,Membalas
"Coins You Have,","Koin yang Kamu Miliki,"
Coins,Koin
Coin,Koin
Send,Kirim
Send Gifts,Kirim Hadiah
"Your gift has been sent,","Hadiahmu telah dikirim,"
Successfully,Berhasil
Check Videos,Lihat Video
Audio Details,Detail Audio
Make Reel,Buat Reel
Reels,Reels
Report @reportType,Laporkan @reportType
Report,Laporkan
Country,Negara
Description,Deskripsi
Submit,Kirim
"By proceeding forward, You agree to the,","Dengan melanjutkan, Anda menyetujui"
Privacy Policy,Kebijakan Privasi
and,dan
Terms of Use,Syarat Penggunaan
Description here..,Deskripsi di sini..
SIGN IN,MASUK
TO CONTINUE,UNTUK MELANJUTKAN
Enter Your Email,Masukkan Email Anda
Enter Password,Masukkan Kata Sandi
Forget Password?,Lupa Kata Sandi?
Log in,Masuk
Log out,Keluar
Delete Account,Hapus Akun
Create account here!,Buat akun di sini!
Continue With,Lanjutkan dengan
SIGN UP &,DAFTAR &
START JOURNEY,MULAI PERJALANAN
Full Name,Nama Lengkap
Email,Email
Password,Kata Sandi
Re-Type Password,Ulangi Kata Sandi
Enter here..,Masukkan di sini..
Create Account,Buat Akun
Enter Full Name,Masukkan Nama Lengkap
LIVESTREAMS,SIARAN LANGSUNG
Search here..,Cari di sini..
Viewers,Penonton
Messages,Pesan
Message,Pesan
Chats,Obrolan
Requests,Permintaan
Followers,Pengikut
LVL,LEVEL
Settings,Pengaturan
Open Setting,Buka Pengaturan
Publish,Publikasikan
Website,Situs Web
Instagram,Instagram
Youtube,YouTube
Shop Now,Beli Sekarang
Feed,Feed
Activity,Aktivitas
System,Sistem
Story,Story
Unfollow,Berhenti Mengikuti
Go Live,Siaran Langsung
Levels,Level
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Kumpulkan lebih banyak koin, capai level baru, dan pamerkan lencana Anda dengan bangga di profil."
Level,Level
Collection,Koleksi
You,Anda
Become,Menjadi
PLUS+,PLUS+
Personal,Pribadi
Edit Profile,Edit Profil
Saved Posts,Postingan Tersimpan
Languages,Bahasa
Blocked Users,Pengguna yang Diblokir
My QR Code,Kode QR Saya
Coin Wallet,Dompet Koin
Privacy,Privasi
Who Can See Posts,Siapa yang Bisa Melihat Postingan
Show My Followings,Tampilkan yang Saya Ikuti
Show Chat Button,Tampilkan Tombol Obrolan
Notifications,Notifikasi
General,Umum
Post Likes,Suka Postingan
Comments On Post,Komentar di Postingan
Mentions,Sebutan
Gifts Received,Hadiah yang Diterima
Chat Message,Pesan Obrolan
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Berlangganan Plus untuk pengalaman bebas iklan dan lencana terverifikasi di profil Anda.
No Ads,Tanpa Iklan
Get Verified,Dapatkan Verifikasi
Subscribe Now,Berlangganan Sekarang
