key,value,
Language,Язык,
FROM AROUND\nTHE WORLD,СО ВСЕГО МИРА,
Continue,Продолжить,
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Делитесь своим талантом с людьми по всему миру и создавайте свою фан-базу.,
Next,Далее,
GET\nAPPRECIATED,ПОЛУЧАЙТЕ ПРИЗНАНИЕ,
Select,Выбрать,
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Собирайте лайки и комментарии от фанатов, это вдохновит вас создавать больше контента!",
MULTIPLE SOCIAL\nGATEWAYS,МНОЖЕСТВО СОЦИАЛЬНЫХ ВОЗМОЖНОСТЕЙ,
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Публикуйте рилы, фото, видео, ведите трансляции. Выбирайте то, что подходит вам и вашей аудитории!",
Nearby,Рядом,
Following,Подписки,
Followers Only,Только подписчики,
Everyone,Все,
Follow,Подписаться,
More,Ещё,
Less,Меньше,
Comments,Комментарии,
Reply,Ответить,
Likes,Лайки,
View,Смотреть,
Hide,Скрыть,
Replies,Ответы,
Views,Просмотры,
POST,ОПУБЛИКОВАТЬ,
Posts,Публикации,
Write here,Напишите здесь,
What do you think,Что вы думаете?,
Replying to,Ответ для,
"Coins You Have,",Ваши монеты:,
Coins,Монеты,
Coin,Монета,
Send,Отправить,
Send Gifts,Отправить подарки,
"Your gift has been sent,","Ваш подарок отправлен,",
Successfully,Успешно,
Check Videos,Смотреть видео,
Audio Details,Информация о звуке,
Make Reel,Создать рил,
Reels,Рилы,
Report @reportType,Пожаловаться @reportType,
Report,Пожаловаться,
Country,Страна,
Description,Описание,
Submit,Отправить,
"By proceeding forward, You agree to the,","Продолжая, вы соглашаетесь с",
Privacy Policy,Политикой конфиденциальности,
and,и,
Terms of Use,Условиями использования,
Description here..,Описание здесь...,
SIGN IN,ВОЙТИ,
TO CONTINUE,ДЛЯ ПРОДОЛЖЕНИЯ,
Enter Your Email,Введите email,
Enter Password,Введите пароль,
Forget Password?,Забыли пароль?,
Log in,Войти,
Log out,Выйти,
Delete Account,Удалить аккаунт,
Create account here!,Создать аккаунт!,
Continue With,Продолжить с,
SIGN UP &,ЗАРЕГИСТРИРУЙТЕСЬ И,
START JOURNEY,НАЧНИТЕ ПУТЕШЕСТВИЕ,
Full Name,Полное имя,
Email,Email,
Password,Пароль,
Re-Type Password,Повторите пароль,
Enter here..,Введите здесь...,
Create Account,Создать аккаунт,
Enter Full Name,Введите полное имя,
LIVESTREAMS,ТРАНСЛЯЦИИ,
Search here..,Искать здесь...,
Viewers,Зрители,
Messages,Сообщения,
Message,Сообщение,
Chats,Чаты,
Requests,Запросы,
Followers,Подписчики,
LVL,УРОВЕНЬ,
Settings,Настройки,
Open Setting,Открыть настройки,
Publish,Опубликовать,
Website,Веб-сайт,
Instagram,Instagram,
Youtube,YouTube,
Shop Now,Купить сейчас,
Feed,Лента,
Activity,Активность,
System,Система,
Story,История,
Unfollow,Отписаться,
Go Live,Начать трансляцию,
Levels,Уровни,
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Зарабатывайте монеты, повышайте уровень и демонстрируйте значок в профиле.",
Level,Уровень,
Collection,Коллекция,
You,Вы,
Become,Стать,
PLUS+,PLUS+,
Personal,Личное,
Edit Profile,Редактировать профиль,
Saved Posts,Сохранённые,
Languages,Языки,
Blocked Users,Заблокированные,
My QR Code,Мой QR-код,
Coin Wallet,Кошелёк,
Privacy,Конфиденциальность,
Who Can See Posts,Кто видит публикации,
Show My Followings,Показывать подписки,
Show Chat Button,Показывать кнопку чата,
Notifications,Уведомления,
General,Основные,
Post Likes,Лайки,
Comments On Post,Комментарии,
Mentions,Упоминания,
Gifts Received,Подарки,
Chat Message,Сообщения,
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Подписка PLUS убирает рекламу и даёт значок верификации.,
No Ads,Без рекламы,
Get Verified,Верификация,
Subscribe Now,Подписаться,
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"Подписка продлевается автоматически, если не отменена за 24 часа до окончания периода.",
User ID,ID пользователя,
Profile Image,Фото профиля,
Username,Имя пользователя,
Bio,Био,
Phone Number,Телефон,
Links,Ссылки,
Link,Ссылка,
Title,Название,
Add Link,Добавить ссылку,
Edit Link,Изменить ссылку,
Edit,Изменить,
Delete,Удалить,
Save,Сохранить,
Share,Поделиться,
Share Post,Поделиться постом,
Pin,Закрепить,
Unpin,Открепить,
Block,Блокировать,
UnBlock,Разблокировать,
Scan This code\nto check the profile,Отсканируйте QR-код для просмотра профиля,
Balance,Баланс,
Collected*,Заработано*,
Gifted*,Подарено*,
GIF,GIF,
Purchased*,Куплено*,
Coin Shop,Магазин монет,
Recharge your wallet. And\nsend gifts to your favorite creators.,Пополняйте кошелёк и отправляйте подарки авторам.,
Purchase,Покупка,
Withdrawals,Вывод,
Request Withdrawal,Запросить вывод,
Pending,В ожидании,
Completed,Завершено,
Rejected,Отклонено,
Coin Balance,Баланс монет,
Estimated Value,Примерная сумма,
Estimated Amount,Расчетная сумма,
Amount,Сумма,
Enter Coin Amount..,Введите количество монет...,
Converted Amount,Конвертированная сумма,
Create Feed,Создать пост,
Write something here..,Напишите что-нибудь...,
Mention,Упомянуть,
Hashtags,Хэштеги,
Location,Местоположение,
Allow Comments,Разрешить комментарии,
Select Music,Выбрать музыку,
Explore,Обзор,
Categories,Категории,
Saved,Сохранённые,
Preview,Предпросмотр,
Change Cover,Изменить обложку,
Upload Now,Загрузить сейчас,
Discard,Отменить,
Done,Готово,
Font Family,Шрифт,
Type Something...,Введите текст...,
Users,Пользователи,
User,Пользователь,
Places,Места,
Enter Live Stream Title...,Название трансляции...,
Start Live,Начать трансляцию,
Stop,Остановить,
Start Battle,Начать битву,
Battle\nStarting\nin,Битва\nначнётся\nчерез,
Cancel,Отмена,
Yes,Да,
Members,Участники,
Audience,Зрители,
Invited,Приглашённые,
Invite,Пригласить,
Co-hosts,Соведущие,
Refuse,Отклонить,
Accept,Принять,
Host,Ведущий,
Guest,Гость,
Victory,Победа,
Defeat,Поражение,
Streamed For,Время трансляции,
Followers Gained,Новые подписчики,
Total Coins Collected,Всего монет,
Go Home,На главную,
Stream Ended!,Трансляция окончена!,
Your Stream Ended!,Ваша трансляция завершена!,
Below is the summary of your stream!,Вот статистика вашей трансляции:,
From Battle,Из битвы,
Live,В эфире,
Check Profile,Профиль,
You are sending coins to @color Participant,Вы отправляете монеты участнику @color,
You will be sent back to main view in...,Вы будете перенаправлены через...,
The live stream has ended because min. @viewers_count viewers are required to keep it going.,Трансляция завершена из-за недостатка зрителей (минимум @viewers_count).,
Please enter an email. The email field is empty.,Введите email. Поле пустое.,
Please enter a password. The password field is empty.,Введите пароль. Поле пустое.,
No user found with that email. Please register with this email.,Пользователь не найден. Зарегистрируйтесь.,
Incorrect password provided for this user.,Неверный пароль.,
The password provided is too weak.,Слишком слабый пароль.,
The account already exists for that email.,Аккаунт с таким email уже существует.,
Please enter a full name. The full name field is empty.,Введите имя. Поле пустое.,
Please enter a username. The username field is empty.,Введите имя пользователя. Поле пустое.,
Please enter a URL link. The link field is empty.,Введите ссылку. Поле пустое.,
Please enter a valid URL link,Некорректная ссылка.,
Please enter a title. The title field is empty.,Введите название. Поле пустое.,
Please enter a valid username.,Некорректное имя пользователя.,
Please confirm your password. The confirm password field is empty.,Подтвердите пароль. Поле пустое.,
The password and confirm password do not match.,Пароли не совпадают.,
The email is incorrect. Please enter a valid email.,Некорректный email.,
A verification link has been sent to your email. Please verify the link to log in.,Ссылка для подтверждения отправлена на email.,
"Please verify your email first, then proceed to log in.",Сначала подтвердите email.,
Delete Link?,Удалить ссылку?,
Phone Code,Код телефона,
No Data Found,Данных нет,
Are you sure you want to delete this link? This action cannot be undone.,Удалить ссылку? Это действие необратимо.,
Uploading post...,Загрузка поста...,
Uploading story...,Загрузка истории...,
Post uploaded successfully.,Пост загружен.,
Story uploaded successfully.,История загружена.,
Uploading failed.,Ошибка загрузки.,
Add Filter,Добавить фильтр,
Apply to all,Применить ко всем,
An error occurred while applying the video filter.,Ошибка применения фильтра.,
An error occurred while compress the video.,Ошибка сжатия видео.,
Delete Post?,Удалить пост?,
"Are you sure you want to delete this post? Once deleted, it cannot be restored.",Пост будет удалён безвозвратно.,
Your post has been pinned.,Пост закреплён.,
Your post has been unpinned.,Пост откреплён.,
You can pin maximum @pin_count post.,Максимум @pin_count постов.,
You can pin maximum @pin_comment_count comment.,Максимум @pin_comment_count комментариев.,
A reset password link has been sent to your email. Please use it to reset your password.,Ссылка для сброса пароля отправлена.,
Copyright Infringement,Нарушение авторских прав,
Hate Speech,Разжигание ненависти,
Harassment or Bullying,Травля,
Violence or Threats,Насилие,
Nudity or Sexual Content,Контент 18+,
Terrorism or Extremist Content,Экстремизм,
Scams or Fraud,Мошенничество,
Spam,Спам,
Impersonation,Фейк,
Misinformation,Дезинформация,
Reason,Причина,
Please provide a detailed reason for the report.,Опишите причину жалобы.,
Report submitted successfully.,Жалоба отправлена.,
Block @username!,Заблокировать @username!,
UnBlock @username!,Разблокировать @username!,
