key,value
Language,Langue
FROM AROUND\nTHE WORLD,DU MONDE\nENTIER
Continue,Continuer
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Partagez votre talent avec\nles gens du monde entier\net constituez une base de fans engagés.
Next,Suivant
GET\nAPPRECIATED,SOYEZ\nAPPRÉCIÉ
Select,Sélectionner
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!","Recevez des likes et commentaires\nde vos fans, ce qui vous motive\nà créer encore plus de contenu !"
MULTIPLE SOCIAL\nGATEWAYS,MULTIPLES PLATEFORMES\nSOCIALES
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Postez des Reels, photos, vidéos, faites\ndu live. Choisissez le format\nqui vous convient, à vous et à votre audience !"
Nearby,À proximité
Following,Abonnements
Followers Only,Abonnés uniquement
Everyone,Tout le monde
Follow,Suivre
More,Plus
Less,Moins
Comments,Commentaires
Reply,Répondre
Likes,Likes
View,Voir
Hide,Masquer
Replies,Réponses
Views,Vues
POST,PUBLIER
Posts,Publications
Write here,Écrivez ici
What do you think,Qu'en pensez-vous ?
Replying to,En réponse à
"Coins You Have,","Pièces que vous avez,"
Coins,Pièces
Coin,Pièce
Send,Envoyer
Send Gifts,Envoyer des cadeaux
"Your gift has been sent,","Votre cadeau a été envoyé,"
Successfully,Avec succès
Check Videos,Voir les vidéos
Audio Details,Détails audio
Make Reel,Créer un Reel
Reels,Reels
Report @reportType,Signaler @reportType
Report,Signaler
Country,Pays
Description,Description
Submit,Soumettre
"By proceeding forward, You agree to the,","En continuant, vous acceptez les"
Privacy Policy,Politique de confidentialité
and,et
Terms of Use,Conditions d'utilisation
Description here..,Description ici..
SIGN IN,SE CONNECTER
TO CONTINUE,POUR CONTINUER
Enter Your Email,Entrez votre email
Enter Password,Entrez votre mot de passe
Forget Password?,Mot de passe oublié ?
Log in,Se connecter
Log out,Se déconnecter
Delete Account,Supprimer le compte
Create account here!,Créez un compte ici !
Continue With,Continuer avec
SIGN UP &,INSCRIVEZ-VOUS &
START JOURNEY,COMMENCEZ L'AVENTURE
Full Name,Nom complet
Email,Email
Password,Mot de passe
Re-Type Password,Confirmez le mot de passe
Enter here..,Entrez ici..
Create Account,Créer un compte
Enter Full Name,Entrez votre nom complet
LIVESTREAMS,LIVES
Search here..,Recherchez ici..
Viewers,Spectateurs
Messages,Messages
Message,Message
Chats,Chats
Requests,Demandes
Followers,Abonnés
LVL,NIV
Settings,Paramètres
Open Setting,Ouvrir les paramètres
Publish,Publier
Website,Site web
Instagram,Instagram
Youtube,YouTube
Shop Now,Acheter maintenant
Feed,Fil d'actualité
Activity,Activité
System,Système
Story,Story
Unfollow,Se désabonner
Go Live,Faire un live
Levels,Niveaux
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Gagnez plus de pièces, atteignez de nouveaux niveaux et arborez fièrement votre badge sur votre profil pour que tous puissent l'admirer."
Level,Niveau
Collection,Collection
You,Vous
Become,Devenir
PLUS+,PLUS+
Personal,Personnel
Edit Profile,Modifier le profil
Saved Posts,Publications enregistrées
Languages,Langues
Blocked Users,Utilisateurs bloqués
My QR Code,Mon QR Code
Coin Wallet,Portefeuille de pièces
Privacy,Confidentialité
Who Can See Posts,Qui peut voir les publications
Show My Followings,Afficher mes abonnements
Show Chat Button,Afficher le bouton de chat
Notifications,Notifications
General,Général
Post Likes,Likes sur les publications
Comments On Post,Commentaires sur les publications
