key,value
Language,言語
FROM AROUND\nTHE WORLD,世界中から
Continue,次へ
Share your talent with the\npeople around the world\nand build your healthy fanbase.,あなたの才能を世界中の人々と共有し、健全なファンベースを築きましょう。
Next,次へ
GET\nAPPRECIATED,評価される
Select,選択
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",ファンから「いいね！」やコメントを集めて、より多くのコンテンツを作成しましょう！
MULTIPLE SOCIAL\nGATEWAYS,複数のソーシャルゲートウェイ
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!",リール、画像、動画を投稿し、ライブ配信。あなたと視聴者に合った方法を選んでください！
Nearby,近くの人
Following,フォロー中
Followers Only,フォロワーのみ
Everyone,全員
Follow,フォロー中
More,もっと見る
Less,もっと見る
Comments,コメント
Reply,返信
Likes,いいね！
View,表示
Hide,非表示
Replies,返信
Views,閲覧回数
POST,投稿
Posts,投稿
Write here,ここに記入
What do you think,ご意見をお聞かせください
Replying to,返信先
"Coins You Have,",お持ちのコイン
Coins,コイン
Coin,コイン
Send,送信
Send Gifts,ギフトを送信
"Your gift has been sent,",ギフトを送信しました
Successfully,
Check Videos,正常に完了
Audio Details,動画を確認
Make Reel,音声の詳細
Reels,リールを作成
Report @reportType,リール
Report,@reportType で報告
Country,報告
Description,国
Submit,説明
"By proceeding forward, You agree to the,",送信
Privacy Policy,次に進むことで、以下の内容に同意したことになります
and,プライバシーポリシー
Terms of Use,および
Description here..,利用規約
SIGN IN,説明はこちら
TO CONTINUE,ログイン
Enter Your Email,続行するには
Enter Password,メールアドレスを入力
Forget Password?,パスワードを入力
Log in,パスワードをお忘れですか？
Log out,ログイン
Delete Account,ログアウト
Create account here!,アカウントを削除
Continue With,アカウントを作成はこちら！
SIGN UP &,続ける
START JOURNEY,サインアップ＆
Full Name,旅を始めましょう
Email,氏名
Password,メールアドレス
Re-Type Password,パスワード
Enter here..,パスワードを再入力
Create Account,ここに入力…
Enter Full Name,アカウントを作成
LIVESTREAMS,氏名を入力
Search here..,ライブ配信
Viewers,ここで検索…
Messages,視聴者
Message,メッセージ
Chats,メッセージ
Requests,チャット
Followers,リクエスト
LVL,フォロワー
Settings,レベル
Open Setting,設定
Publish,設定を開く
Website,公開
Instagram,ウェブサイト
Youtube,Instagram
Shop Now,Youtube
Feed,今すぐ購入
Activity,フィード
System,アクティビティ
Story,システム
Unfollow,ストーリー
Go Live,フォロー解除
Levels,ライブ配信開始
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.",レベル
Level,コインをもっと集めて、新たな高みを目指し、プロフィールにバッジを誇らしげに表示して、みんなの称賛を浴びましょう。
Collection,レベル
You,コレクション
Become,あなた
PLUS+,PLUS+になる
Personal,パーソナル
Edit Profile,プロフィール編集
Saved Posts,保存した投稿
Languages,言語
Blocked Users,ブロックしたユーザー
My QR Code,QRコード
Coin Wallet,コインウォレット
Privacy,プライバシー
Who Can See Posts,投稿の閲覧権限
Show My Followings,フォロー中の投稿を表示
Show Chat Button,チャットボタンを表示
Notifications,通知
General,一般
Post Likes,投稿のいいね！
Comments On Post,投稿へのコメント
Mentions,メンション
Gifts Received,受け​​取ったギフト
Chat Message,チャットメッセージ
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Plusに登録して、広告なしの体験と認証済みのプロフィールアイコンを手に入れましょう。
No Ads,広告なし
Get Verified,認証済みになる
Subscribe Now,今すぐ登録
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,現在の期間終了の24時間以内にキャンセルされない限り、サブスクリプションはプランに従って自動的に更新されます。App Store/Playストアの設定からいつでもサブスクリプションを管理およびキャンセルできます。
User ID,ユーザーID
Profile Image,プロフィール画像
Username,ユーザー名
Bio,自己紹介
Phone Number,電話番号
Links,リンク
Link,リンク
Title,タイトル
Add Link,リンクを追加
Edit Link,リンクを編集
Edit,編集
Delete,削除
Save,保存
Share,共有
Share Post,投稿を共有
Pin,ピン留め
Unpin,ピン留めを解除
Block,ブロック
UnBlock,ブロック解除
Scan This code\nto check the profile,このコードをスキャンしてプロフィールを確認
Balance,残高
Collected*,獲得*
Gifted*,ギフト*
GIF,GIF
Purchased*,購入*
Coin Shop,コインショップ
Recharge your wallet. And\nsend gifts to your favorite creators.,ウォレットにチャージ。そして、お気に入りのクリエイターにギフトを贈りましょう。
Purchase,購入
Withdrawals,出金
Request Withdrawal,出金リクエスト
Pending,保留中
Completed,完了
Rejected,拒否
Coin Balance,コイン残高
Estimated Value,推定価値
Estimated Amount,推定金額
Amount,金額
Enter Coin Amount..,コイン金額を入力…
Converted Amount,変換後金額
Create Feed,フィードを作成
Write something here..,ここに何か記入…
Mention,メンション
Hashtags,ハッシュタグ
Location,場所
Allow Comments,コメントを許可
Select Music,音楽を選択
Explore,探す
Categories,カテゴリー
Saved,保存済み
Preview,プレビュー
Change Cover,カバーを変更
Upload Now,今すぐアップロード
Discard,破棄
Done,完了
Font Family,フォントファミリー
Type Something...,何か入力…
Users,ユーザー
User,ユーザー
Places,場所
Enter Live Stream Title...,ライブ配信タイトルを入力…
Start Live,ライブ配信を開始
Stop,停止
