key,value
Language,Γλώσσα
FROM AROUND\nTHE WORLD,ΑΠΟ ΟΛΟ ΤΟΝ ΚΟΣΜΟ
Continue,Συνέχεια
Share your talent with the\npeople around the world\nand build your healthy fanbase.,Μοιράσου το ταλέντο σου με ανθρώπους από όλο τον κόσμο και δημιούργησε μια αφοσιωμένη κοινότητα θαυμαστών.
Next,Επόμενο
GET\nAPPRECIATED,ΛΑΒΕ ΑΝΑΓΝΩΡΙΣΗ
Select,Επιλογή
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",Λάβε likes και σχόλια από τους θαυμαστές σου που θα σε κινητοποιήσουν να δημιουργήσεις περισσότερο περιεχόμενο!
MULTIPLE SOCIAL\nGATEWAYS,ΠΟΛΛΑΠΛΕΣ ΚΟΙΝΩΝΙΚΕΣ ΠΛΑΤΦΟΡΜΕΣ
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!","Δημοσίευσε Reels, εικόνες, βίντεο, κάνε live. Επέλεξε τη μέθοδο που ταιριάζει σε εσένα και στο κοινό σου!"
Nearby,Κοντά μου
Following,Ακολουθούμενοι
Followers Only,Μόνο ακόλουθοι
Everyone,Όλοι
Follow,Ακολούθησε
More,Περισσότερα
Less,Λιγότερα
Comments,Σχόλια
Reply,Απάντηση
Likes,Likes
View,Προβολή
Hide,Απόκρυψη
Replies,Απαντήσεις
Views,Προβολές
POST,ΔΗΜΟΣΙΕΥΣΗ
Posts,Δημοσιεύσεις
Write here,Γράψε εδώ
What do you think,Τι σκέφτεσαι;
Replying to,Απάντηση σε
"Coins You Have,","Νομίσματα που έχεις,"
Coins,Νομίσματα
Coin,Νόμισμα
Send,Αποστολή
Send Gifts,Αποστολή δώρων
"Your gift has been sent,","Το δώρο σου έχει σταλεί,"
Successfully,Επιτυχώς
Check Videos,Δες βίντεο
Audio Details,Λεπτομέρειες ήχου
Make Reel,Δημιουργία Reel
Reels,Reels
Report @reportType,Αναφορά @reportType
Report,Αναφορά
Country,Χώρα
Description,Περιγραφή
Submit,Υποβολή
"By proceeding forward, You agree to the,","Συνεχίζοντας, αποδέχεσαι τους"
Privacy Policy,Όρους Προστασίας Δεδομένων
and,και τους
Terms of Use,Όρους Χρήσης
Description here..,Περιγραφή εδώ..
SIGN IN,ΣΥΝΔΕΣΗ
TO CONTINUE,ΓΙΑ ΣΥΝΕΧΕΙΑ
Enter Your Email,Εισαγωγή email
Enter Password,Εισαγωγή κωδικού
Forget Password?,Ξέχασες τον κωδικό;
Log in,Σύνδεση
Log out,Αποσύνδεση
Delete Account,Διαγραφή λογαριασμού
Create account here!,Δημιουργία λογαριασμού εδώ!
Continue With,Συνέχεια με
SIGN UP &,ΕΓΓΡΑΦΗ &
START JOURNEY,ΞΕΚΙΝΗΣΕ ΤΗΝ ΠΟΡΕΙΑ ΣΟΥ
Full Name,Πλήρες όνομα
Email,Email
Password,Κωδικός
Re-Type Password,Επιβεβαίωση κωδικού
Enter here..,Εισαγωγή εδώ..
Create Account,Δημιουργία λογαριασμού
Enter Full Name,Εισαγωγή πλήρους ονόματος
LIVESTREAMS,LIVESTREAMS
Search here..,Αναζήτηση εδώ..
Viewers,Θεατές
Messages,Μηνύματα
Message,Μήνυμα
Chats,Συζητήσεις
Requests,Αιτήματα
Followers,Ακόλουθοι
LVL,ΕΠΙΠΕΔΟ
Settings,Ρυθμίσεις
Open Setting,Άνοιγμα ρυθμίσεων
Publish,Δημοσίευση
Website,Ιστοσελίδα
Instagram,Instagram
Youtube,YouTube
Shop Now,Αγόρασε τώρα
Feed,Feed
Activity,Δραστηριότητα
System,Σύστημα
Story,Story
Unfollow,Κατάργηση παρακολούθησης
Go Live,Ζωντανή μετάδοση
Levels,Επίπεδα
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Συλλέγεις περισσότερα νομίσματα, φτάνεις νέα επίπεδα και επιδεικνύεις το σήμα σου με περηφάνια στο προφίλ σου."
Level,Επίπεδο
Collection,Συλλογή
You,Εσύ
Become,Γίνε
PLUS+,PLUS+
Personal,Προσωπικά
Edit Profile,Επεξεργασία προφίλ
Saved Posts,Αποθηκευμένες δημοσιεύσεις
Languages,Γλώσσες
Blocked Users,Αποκλεισμένοι χρήστες
My QR Code,Ο κωδικός QR μου
Coin Wallet,Πορτοφόλι νομισμάτων
Privacy,Απόρρητο
Who Can See Posts,Ποιος μπορεί να δει τις δημοσιεύσεις
Show My Followings,Εμφάνιση των ακολουθούμενων
Show Chat Button,Εμφάνιση κουμπιού συζήτησης
Notifications,Ειδοποιήσεις
General,Γενικά
Post Likes,Likes σε δημοσιεύσεις
Comments On Post,Σχόλια σε δημοσιεύσεις
Mentions,Αναφορές
Gifts Received,Ληφθέντα δώρα
Chat Message,Μήνυμα συζήτησης
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Εγγραφή στο Plus για μια εμπειρία χωρίς διαφημίσεις και ένα επαληθευμένο σήμα στο προφίλ σου.
No Ads,Χωρίς διαφημίσεις
Get Verified,Λήψη επαλήθευσης
Subscribe Now,Εγγραφή τώρα
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"Η συνδρομή ανανεώνεται αυτόματα σύμφωνα με το πρόγραμμα, εκτός εάν ακυρωθεί εντός 24 ωρών πριν από το τέλος της τρέχουσας περιόδου. Μπορείτε να διαχειριστείτε και να ακυρώσετε συνδρομές ανά πάσα στιγμή από τις ρυθμίσεις του App Store/Play Store."
User ID,Ταυτότητα χρήστη
Profile Image,Εικόνα προφίλ
Username,Όνομα χρήστη
Bio,Bio
Phone Number,Τηλεφωνικός αριθμός
Links,Σύνδεσμοι
Link,Σύνδεσμος
Title,Τίτλος
