key,value
Language,لغة
FROM AROUND\nTHE WORLD,من جميع أنحاء\nالعالم
Continue,متابعة
Share your talent with the\npeople around the world\nand build your healthy fanbase.,شارك موهبتك مع\nالناس حول العالم\nوابنِ قاعدة معجبين نشطة.
Next,التالي
GET\nAPPRECIATED,احصل على\nالتقدير
Select,تحديد
"Collect likes and comments\nfrom your fans, which boosts\nyou to create more content!",اجمع الإعجابات والتعليقات\nمن معجبيك، مما يحفزك\nعلى إنشاء المزيد من المحتوى!
MULTIPLE SOCIAL\nGATEWAYS,بوابات تواصل اجتماعي\nمتعددة
"Post Reels, Images, Videos, Go\nLive. Choose any way\nfits to you & your audience!",انشر ريلز، صور، فيديوهات، بث\nمباشر. اختر أي طريقة\nتناسبك وتناسب جمهورك!
Nearby,بالقرب
Following,المتابَعون
Followers Only,المتابِعون فقط
Everyone,الجميع
Follow,متابعة
More,المزيد
Less,أقل
Comments,تعليقات
Reply,رد
Likes,إعجابات
View,عرض
Hide,إخفاء
Replies,ردود
Views,مشاهدات
POST,نشر
Posts,منشورات
Write here,اكتب هنا
What do you think,ما رأيك؟
Replying to,ردًا على
"Coins You Have,",العملات التي تمتلكها،
Coins,عملات
Coin,عملة
Send,إرسال
Send Gifts,إرسال هدايا
"Your gift has been sent,",تم إرسال هديتك،
Successfully,بنجاح
Check Videos,تحقق من الفيديوهات
Audio Details,تفاصيل الصوت
Make Reel,إنشاء ريل
Reels,ريلز
Report @reportType,الإبلاغ عن @reportType
Report,الإبلاغ
Country,البلد
Description,الوصف
Submit,إرسال
"By proceeding forward, You agree to the,",بالمتابعة، فإنك توافق على،
Privacy Policy,سياسة الخصوصية
and,و
Terms of Use,شروط الاستخدام
Description here..,اكتب الوصف هنا..
SIGN IN,تسجيل الدخول
TO CONTINUE,للمتابعة
Enter Your Email,أدخل بريدك الإلكتروني
Enter Password,أدخل كلمة المرور
Forget Password?,نسيت كلمة المرور؟
Log in,تسجيل الدخول
Log out,تسجيل الخروج
Delete Account,حذف الحساب
Create account here!,إنشاء حساب هنا!
Continue With,المتابعة باستخدام
SIGN UP &,اشتراك &
START JOURNEY,بدء الرحلة
Full Name,الاسم الكامل
Email,البريد الإلكتروني
Password,كلمة المرور
Re-Type Password,إعادة إدخال كلمة المرور
Enter here..,أدخل هنا..
Create Account,إنشاء حساب
Enter Full Name,أدخل الاسم الكامل
LIVESTREAMS,البث المباشر
Search here..,ابحث هنا..
Viewers,المشاهدون
Messages,رسائل
Message,رسالة
Chats,الدردشات
Requests,الطلبات
Followers,المتابِعون
LVL,مستوى
Settings,الإعدادات
Open Setting,فتح الإعدادات
Publish,نشر
Website,موقع الويب
Instagram,إنستغرام
Youtube,يوتيوب
Shop Now,تسوق الآن
Feed,المحتوى
Activity,النشاط
System,النظام
Story,ستوري
Unfollow,إلغاء المتابعة
Go Live,بث مباشر
Levels,المستويات
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.",اجمع المزيد من العملات، ارتقِ إلى مستويات جديدة، وعرض شارتك بفخر على ملفك الشخصي ليراها الجميع.
Level,مستوى
Collection,المجموعة
You,أنت
Become,كن
PLUS+,PLUS+
Personal,شخصي
Edit Profile,تعديل الملف الشخصي
Saved Posts,المشاركات المحفوظة
Languages,اللغات
Blocked Users,المستخدمون المحظورون
My QR Code,رمز QR الخاص بي
Coin Wallet,محفظة العملات
Privacy,الخصوصية
Who Can See Posts,من يمكنه رؤية المنشورات
Show My Followings,إظهار متابعيني
Show Chat Button,إظهار زر الدردشة
Notifications,الإشعارات
General,عام
Post Likes,إعجابات المنشورات
Comments On Post,تعليقات على المنشور
Mentions,الإشارات
Gifts Received,الهدايا المستلمة
Chat Message,رسالة الدردشة
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,اشترك في Plus واستمتع بتجربة خالية من الإعلانات وعلامة التحقق على ملفك الشخصي.
No Ads,بدون إعلانات
Get Verified,احصل على التحقق
Subscribe Now,اشترك الآن
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,يتم تجديد الاشتراك تلقائيًا وفقًا للخطة ما لم يتم الإلغاء خلال 24 ساعة قبل نهاية الفترة الحالية. يمكنك إدارة الاشتراكات وإلغاؤها في أي وقت من إعدادات متجر التطبيقات/متجر Play.
User ID,معرف المستخدم
Profile Image,صورة الملف الشخصي
Username,اسم المستخدم
Bio,السيرة الذاتية
Phone Number,رقم الهاتف
Links,الروابط
Link,رابط
Title,عنوان
Add Link,إضافة رابط
Edit Link,تعديل الرابط
Edit,تعديل
Delete,حذف
Save,حفظ
Share,مشاركة
Share Post,مشاركة المنشور
Pin,تثبيت
Unpin,إلغاء التثبيت
Block,حظر
UnBlock,إلغاء الحظر
Scan This code\nto check the profile,امسح هذا الرمز\nللتحقق من الملف الشخصي
Balance,الرصيد
Collected*,المجموع*
Gifted*,الهدايا المرسلة*
GIF,GIF
Purchased*,المشتراة*
Coin Shop,متجر العملات
Recharge your wallet. And\nsend gifts to your favorite creators.,اشحن محفظتك.\nوأرسل الهدايا إلى منشئي المحتوى المفضلين لديك.
Purchase,شراء
Withdrawals,السحوبات
Request Withdrawal,طلب سحب
Pending,قيد الانتظار
Completed,مكتمل
Rejected,مرفوض
